         Name      z                Ref OIII1661 OIII1666 NIII1750        CIII1907        CIII1909      NeIII3869        OII3727        OII3729       OIITot    Hd          Hg    OIII4363          Hb OIII4959    OIII5007          Ha      NII6584 eOIII1661 eOIII1666 eNIII1750 eCIII1907 eCIII1909  eNeIII3869    eOII3727    eOII3729     eOIITot   eHd         eHg   eOIII4363         eHb eOIII4959   eOIII5007         eHa    eNII6584
------------- ------ ------------------ -------- -------- -------- --------------- --------------- -------------- -------------- -------------- ------------ ----- ----------- ----------- ----------- -------- ----------- ----------- ------------ --------- --------- --------- --------- --------- ----------- ----------- ----------- ----------- ----- ----------- ----------- ----------- --------- ----------- ----------- -----------
       CSWA20  1.433          James2014     0.04      0.1      nan            0.12            0.11           0.37           0.47           0.52         0.47   nan        0.57        0.05         1.0     1.67        4.97        3.32         0.06      0.04      0.04       nan      0.01      0.01        0.02        0.02        0.03         0.2   nan        0.05        0.03        0.07       0.1        0.29         0.2        0.02
    USD-12539  1.621         Maseda2014      nan      nan      nan             nan             nan    3.29065e-17    7.35208e-17    8.08939e-17 1.544147e-16   nan  2.9366e-17 3.95775e-17 1.20361e-16      nan 5.72444e-16 4.07651e-16  1.79054e-17       nan       nan       nan       nan       nan 6.27673e-18 2.50988e-17 2.89959e-17 5.40947e-17   nan 2.29637e-18 3.30824e-18 3.69689e-18       nan  3.2338e-18 1.32121e-18 1.34166e-18
     UDS-6377  1.664         Maseda2014      nan      nan      nan             nan             nan    3.77915e-18    8.57055e-19    8.38026e-18 9.237315e-18   nan 3.98594e-18 5.23006e-18 5.03657e-18      nan 3.33684e-17 1.93424e-17 -1.92051e-18       nan       nan       nan       nan       nan 2.63884e-18 1.98861e-18 1.96377e-18 3.95238e-18   nan 1.27652e-18  1.5429e-18 8.57792e-19       nan 1.07353e-18 4.66379e-19 7.42037e-19
Abell_860_359  1.702          Stark2014     0.03    0.083     0.03             nan             nan            nan            nan            nan          1.2   nan         nan         nan         1.0     2.03        6.12        2.97          nan       nan     0.029       nan       nan       nan         nan         nan         nan         nan   nan         nan         nan        0.03      0.03         0.1        0.03         nan
   Abell_22.3  1.703           Yuan2009      nan      nan      nan             nan             nan            nan            nan            nan         1.11   nan         nan        0.27         1.0     1.98        6.45        5.03         0.05       nan       nan       nan       nan       nan         nan         nan         nan         0.3   nan         nan         0.1         0.1       0.3         0.3         0.4         nan
        RCSGA 1.7037          Rigby2011      nan      nan      nan             nan             nan            7.8            nan            nan         72.0   7.1        13.5         1.5        32.4     49.3       159.0       116.0          7.4       nan       nan       nan       nan       nan         1.3         nan         nan         0.2   1.7         2.0         nan         1.1       1.6         1.4         1.2         1.2
   A1689_31.1    1.8 Christensen2012a,b      3.2      7.4      nan             4.7             9.1            6.4            9.2           11.7         20.9   nan        17.0         6.2        42.7     63.0       211.5         nan          nan       0.4       0.3       nan       0.4       0.4         2.5         0.8         0.9         1.7   nan         2.1         1.8         4.9      10.6         5.7         nan         nan
   SMACS_0304  1.963 Christensen2012a,b    0.014    0.023      nan             nan             nan         0.2998         0.8756         1.1744          2.1 0.257       0.412         nan         1.0    1.339       4.714       3.604        0.116     0.003     0.004       nan       nan       nan         3.8         3.4         3.9        0.02 0.005       0.003         nan       0.002     0.004       0.007       0.001       0.005
    MACS_0451   2.06          Stark2014      0.2      0.3      0.1             nan             nan            nan            nan            nan         0.63   nan         nan         nan         1.0     1.37        3.95        2.58        0.065       0.1       0.1       nan       nan       nan         nan         nan         nan         nan   nan         nan         nan         0.1      0.05        0.05        0.16         nan
 COSMOS_12805  2.159         Kojima2017    0.049    0.075    0.042             nan             nan            nan            nan            nan          2.9   nan         nan         nan         1.0     1.89        6.46        2.84          0.1     0.012     0.015       nan       nan       nan         nan         nan         nan         nan   nan         nan         nan         0.3      0.42        0.29        0.05         nan
        BX660  2.174            Erb2016      0.0     0.21      nan             nan             nan            nan            nan            nan         0.87   nan         nan         nan         1.0      3.2         6.4        2.77         0.07       0.0      0.04       nan       nan       nan         nan         nan         nan        0.04   nan         nan         nan         nan       0.8         0.3         0.2         nan
         BX74  2.189            Erb2016      0.0     0.12      nan             nan             nan            nan            nan            nan         1.01   nan         nan         nan         1.0     2.47         7.9        3.46         0.12       0.0      0.01       nan       nan       nan         nan         nan         nan        0.04   nan         nan         nan         nan      1.52         1.0        0.25        0.03
        BX418  2.305            Erb2016      0.0     0.14      nan             nan             nan            nan            nan            nan          0.9   nan         nan         nan         1.0      2.3         6.4        2.81         0.15       0.0      0.04       nan       nan       nan         nan         nan         nan        0.03   nan         nan         nan         nan       0.7         0.3         0.2        0.03
    S16-stack  2.396        Steidel2016    0.009    0.025      nan 0.0804651162791 0.0553488372093 0.306976744186  1.04651162791  1.10697674419         2.15   nan         nan        0.06         1.0     1.46        4.37        3.61         0.35     0.003     0.003       nan     0.006     0.006        0.05        0.05        0.06        0.04   nan         nan         nan        0.02      0.02        0.02        0.02        0.02
  COSMOS-1908 3.0768        Sanders2016      nan      nan      nan             nan             nan           1.84           1.09           1.09         2.18  1.49        2.21        0.56        4.72     10.8        33.3         nan          nan       nan       nan       nan       nan       nan        0.21        0.19        0.18        0.37  0.32        0.34        0.14        0.25      0.28         0.7         nan         nan
    SGAS_1050  3.625        Bayliss2014    0.018    0.051    0.014  0.199649737303  0.120840630473 0.320490367776 0.395796847636 0.388791593695         0.79   nan        0.52       0.014         1.0     2.35        8.08         nan          nan     0.007     0.007     0.005      0.07      0.08        0.04        0.06        0.06        0.02   nan        0.02         nan        0.01      0.02        0.02         nan         nan
