         Name      z                Ref        OIII1661        OIII1666        NIII1750        CIII1907        CIII1909      NeIII3869        OII3727        OII3729         OIITot             Hd             Hg        OIII4363            Hb      OIII4959      OIII5007            Ha         NII6584 eOIII1661 eOIII1666 eNIII1750 eCIII1907 eCIII1909 eNeIII3869 eOII3727 eOII3729 eOIITot   eHd   eHg eOIII4363   eHb eOIII4959 eOIII5007   eHa eNII6584
------------- ------ ------------------ --------------- --------------- --------------- --------------- --------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------- ------------- ------------- ------------- ------------- --------------- --------- --------- --------- --------- --------- ---------- -------- -------- ------- ----- ----- --------- ----- --------- --------- ----- --------
       CSWA20  1.433          James2014 0.0434525752364   0.10862115928             nan  0.131226518517  0.120312721405 0.376977683506 0.480178907505 0.531240750831 0.480159909405            nan 0.575804488049 0.0504880840145 1.00000678047 1.66668386844 4.95534425697  3.2359746879 0.0584678697945      0.04      0.04       nan      0.01      0.01       0.02     0.02     0.03     0.2   nan  0.05      0.03  0.07       0.1      0.29   0.2     0.02
Abell_860_359  1.702          Stark2014 0.0331705829908 0.0917614089377 0.0331537780467             nan             nan            nan            nan            nan  1.23155052233            nan            nan             nan 1.00000822807 2.02510945625 6.09810706517 2.87903304699             nan       0.0     0.029       0.0       nan       nan        nan      nan      nan     0.0   nan   nan       nan  0.03      0.03       0.1  0.03      nan
   Abell_22.3  1.703           Yuan2009             nan             nan             nan             nan             nan            nan            nan            nan  1.14040373359            nan            nan  0.273334482697 1.00000856729 1.97503350514 6.42597709697 4.86968895341 0.0483922272548       nan       nan       nan       nan       nan        nan      nan      nan     0.3   nan   nan       0.1   0.1       0.3       0.3   0.4      0.0
        RCSGA 1.7037          Rigby2011             nan             nan             nan             nan             nan  8.33391352085            nan            nan  77.6690108581  7.47162845311  13.9935310911   1.55253819942 32.4007785421 48.9539502101 157.344639354 105.926490702   6.75181209529       nan       nan       nan       nan       nan        1.3      nan      nan     0.2   1.7   2.0       0.0   1.1       1.6       1.4   1.2      1.2
   A1689_31.1    1.8 Christensen2012a,b   3.54268612108   8.19150911411             nan   5.24596611228   10.1593397069  6.54863037675  9.44544065928  12.0115524918  21.4565339384            nan  17.2129751323   6.27445371281 42.7003557743 62.8463106928 210.733871324           nan             nan       0.4       0.3       nan       0.4       0.4        2.5      0.8      0.9     1.7   nan   2.1       1.8   4.9      10.6       5.7   nan      nan
   SMACS_0304  1.963 Christensen2012a,b 0.0147926582958  0.024300694655             nan             nan             nan 0.303549229875 0.888169252072  1.19122717791  2.13008947003 0.259473024794 0.414786193749             nan 1.00000451047 1.33723069404 4.70474836997 3.54306365545  0.114021032024     0.003     0.004       nan       nan       nan        3.8      3.4      3.9    0.02 0.005 0.003       nan 0.002     0.004     0.007 0.001    0.005
    MACS_0451   2.06          Stark2014   0.26564048229  0.398331484164   0.13263022916             nan             nan            nan            nan            nan 0.677925850676            nan            nan             nan 1.00002324528 1.36069620684 3.91021085819  2.3629427245 0.0594840532842       0.1       0.1       0.0       nan       nan        nan      nan      nan     0.0   nan   nan       nan   0.1      0.05      0.05  0.16      0.0
 COSMOS_12805  2.159         Kojima2017 0.0547373973496 0.0837711283058 0.0468915726279             nan             nan            nan            nan            nan  2.98414632467            nan            nan             nan 1.00000906843  1.8849823183 6.43453525587 2.74428212013 0.0965995982351     0.012     0.015       0.0       nan       nan        nan      nan      nan     0.0   nan   nan       nan   0.3      0.42      0.29  0.05      0.0
        BX660  2.174            Erb2016             0.0  0.240800511007             nan             nan             nan            nan            nan            nan 0.901344647178            nan            nan             nan 1.00001122165 3.18949058258 6.36879618928 2.65494050584 0.0670665384431       0.0      0.04       nan       nan       nan        nan      nan      nan    0.04   nan   nan       nan   0.2       0.8       0.3   0.2      0.0
         BX74  2.189            Erb2016             0.0  0.132954893023             nan             nan             nan            nan            nan            nan  1.03713608107            nan            nan             nan 1.00000840575 2.46392110025 7.87113037897 3.35177280027  0.116212942032       0.0      0.01       nan       nan       nan        nan      nan      nan    0.04   nan   nan       nan   0.3      1.52       1.0  0.25     0.03
        BX418  2.305            Erb2016             0.0   0.16073949134             nan             nan             nan            nan            nan            nan 0.932734511413            nan            nan             nan  1.0000113267 2.29237575826 6.36850478708 2.69220951216  0.143656425304       0.0      0.04       nan       nan       nan        nan      nan      nan    0.03   nan   nan       nan   0.2       0.7       0.3   0.2     0.03
    S16-stack  2.396        Steidel2016           0.009           0.025             nan 0.0804651162791 0.0553488372093 0.306976744186  1.04651162791  1.10697674419           2.15            nan            nan            0.06           1.0          1.46          4.37          3.61            0.35     0.003     0.003       nan     0.006     0.006       0.05     0.05     0.06    0.04   nan   nan       0.0  0.02      0.02      0.02  0.02     0.02
