         Name                         RaDec                ref      z LogMass           SFR      Te   supTe   infTe MetTe supMetTe infMetTe nb marker
------------- ----------------------------- ------------------ ------ ------- ------------- ------- ------- ------- ----- -------- -------- -- ------
       CSWA20 14h41m49.1537s 14d41m20.5747s          James2014  1.433     nan           5.7 14100.0  2200.0 -1900.0   7.9     0.17    -0.14  0      >
    USD-12539 02h17m53.7336s -05d14m03.228s         Maseda2014  1.621    8.67 19.4984459976     nan     nan     nan  7.45     0.09     0.09  1      v
     UDS-6377 02h17m42.8568s -05d15m19.152s         Maseda2014  1.664    8.32 12.0226443462     nan     nan     nan  7.52     0.37     0.37  2      D
Abell_860_359   13h11m26.426s -01d21m31.22s          Stark2014  1.702    7.86          55.0 12800.0  1000.0 -1200.0  8.06     0.12    -0.09  3      H
   Abell_22.3  13h11m32.4150s -1d21m15.917s           Yuan2009  1.703     8.5          76.0 30100.0 11800.0 -8300.0  7.33     0.26    -0.22  4      s
        RCSGA          03h27m27s -13d26m09s          Rigby2011 1.7037    10.0         106.0 11140.0  1200.0     0.0  8.21      0.0     0.07  5      o
   A1689_31.1     13h11m30.42s -01d19m51.5s Christensen2012a,b    1.8     7.7           1.0 21600.0  3000.0  3000.0  7.69     0.13     0.13  6      <
   SMACS_0304     03h04m20.29s -44d02m27.8s Christensen2012a,b  1.963   10.57          16.0 10300.0   300.0  -400.0  8.36     0.06    -0.25  7      X
    MACS_0451    04h51m53.399s 00d06m40.31s          Stark2014   2.06    7.49         906.0 21900.0  3400.0 -3600.0  7.32     0.17    -0.12  8      p
 COSMOS_12805       12h30m25.3s 15d15m58.1s         Kojima2017  2.159    9.24          18.0 12900.0  7800.0  -900.0  8.06     0.12    -0.12  9      *
        BX660   23h46m29.434s 12d49m45.552s            Erb2016  2.174    9.73          28.8 12700.0   700.0  -700.0  8.15     0.07    -0.06 10      ^
         BX74  02h09m43.154s -00d05m50.208s            Erb2016  2.189    9.72          58.1 13600.0  1100.0  -900.0   8.1     0.08    -0.08 11      d
        BX418   23h46m18.571s 12d47m47.364s            Erb2016  2.305    9.45          52.0 12800.0   600.0  -500.0   8.1     0.05    -0.06 12      h
    S16-stack                          None        Steidel2016  2.396     9.8          29.2 12100.0   300.0  -400.0  8.17     0.03    -0.03 13      x
  COSMOS-1908     10h00m23.36s 02d11m055.9s        Sanders2016 3.0768     9.3          49.0 12800.0  1950.0  1400.0   8.0     0.13     0.14 14      >
    SGAS_1050          10h50m39.6s 00d17m30        Bayliss2014  3.625     9.5          84.0 10500.0   300.0  -400.0  8.43     0.05    -0.04 15      8
