#Line		Flux:UDS-6	Err:UDS-6	Flux:UDS-12	Err:UDS-12
OII_3727	8.57055e-19	1.98861e-18	7.35208e-17	2.50988e-17
OII_3729	8.38026e-18	1.96377e-18	8.08939e-17	2.89959e-17
NeIII_3868	3.77915e-18	2.63884e-18	3.29065e-17	6.27673e-18
OIII_4363	5.23006e-18	1.54290e-18	3.95775e-17	3.30824e-18
Hgamma		3.98594e-18	1.27652e-18	2.93660e-17	2.29637e-18
Hbeta		5.03657e-18	8.57792e-19	1.20361e-16	3.69689e-18
OIII_5007	3.33684e-17	1.07353e-18	5.72444e-16	3.23380e-18
Halpha		1.93424e-17	4.66379e-19	4.07651e-16	1.32121e-18
NII_6548	-6.40170e-19	2.47346e-19	5.96847e-18	4.47221e-19
NII_6583	-1.92051e-18	7.42037e-19	1.79054e-17	1.34166e-18
SII_6717	-7.65738e-18	5.86031e-19	2.67621e-17	1.03011e-18
SII_6731	6.98868e-18	5.65255e-19	1.82712e-17	1.17262e-18				
