               Name 12+log(O/H) err_OH 12+log(N/O) err_NO      U  errU
------------------- ----------- ------ ----------- ------ ------ -----
       COSMOS_12805       7.543  0.169       -10.0  -10.0  -1.96 0.157
         SMACS_0304       8.015  0.051       -10.0  -10.0 -2.673 0.065
               BX74         0.0    0.0       -10.0  -10.0    0.0   0.0
              BX418        8.08  0.023       -10.0  -10.0 -2.316 0.011
              BX660        8.08  0.024       -10.0  -10.0 -2.315 0.012
         Abell_22.3       8.108   0.03       -10.0  -10.0 -2.423 0.002
          SGAS_1050       7.966  0.181       -10.0  -10.0 -2.011 0.153
             CSWA20       8.128  0.051       -10.0  -10.0 -2.455 0.142
          MACS_0451       8.024  0.042       -10.0  -10.0 -2.667 0.051
      Abell_860_359       8.016  0.049       -10.0  -10.0 -2.672 0.062
          S16-stack       7.938  0.157       -10.0  -10.0 -1.977 0.167
         A1689_31.1       7.832  0.094      -0.926 -0.926 -2.426 0.022
RCSGA_032727-132609       8.027  0.043       -10.0  -10.0 -2.656 0.061
        COSMOS-1908       8.181  0.151      -4.641 -4.641 -2.681 0.198
