               Name  12+log(O+/H) 12+log(O2+/H)   12+log(O/H) 12+log(Ne+/H)
------------------- ------------- ------------- ------------- -------------
       COSMOS_12805  7.7743897713 8.56028183395 8.62613120469           nan
         SMACS_0304 7.76369680168 8.36220903492 8.45983092187  7.8027870281
               BX74 7.13407949918 9.04268993902 9.04801724321           nan
              BX418 7.07667951204 8.81178506247 8.81970483769           nan
              BX660 6.99276038109 8.95905127531 8.96371955841           nan
         Abell_22.3 7.92570065694 10.3744949422 10.3760374187           nan
          SGAS_1050 7.63176144431 8.08392734071 8.21524063519           nan
             CSWA20  7.0717702329  8.3988532584 8.41883674349           nan
          MACS_0451 6.76742099988  9.0089848413 9.01146785075           nan
      Abell_860_359 7.31156081602 8.64858248138 8.66812386534           nan
          S16-stack 7.67689094156 8.47221085951 8.53674614678 8.02931277932
         A1689_31.1 6.80985520716 9.26132515277  9.2628581721 8.77953108876
RCSGA_032727-132609 6.99328195477 8.59392370856 8.60468222027 7.89374884238
        COSMOS-1908 6.81583265016 8.78015178462  8.7848411963 8.15178673049
