               Name  12+log(O+/H) 12+log(O2+/H)   12+log(O/H)
------------------- ------------- ------------- -------------
       COSMOS_12805 7.73731851276 8.10598084158 8.26067725211
         SMACS_0304 7.73939859908 8.01302925145 8.19844701696
               BX74  7.0975710324 7.87040737942 7.93811743486
              BX418 7.05503857372 7.95071397026 8.00269661505
              BX660 6.95647050615 7.88473116954 7.93315791704
         Abell_22.3 8.41878372884 7.20287485207 8.44442799121
          SGAS_1050 7.73228166407 8.58194852644 8.63937199224
             CSWA20 7.40855439477 7.97216884235  8.0770450586
          MACS_0451 6.72931582211 7.46004067182 7.53408807631
      Abell_860_359 7.27214907047 7.99392627821 8.06938853215
          S16-stack 7.74805898681 7.85288885021 8.10465924007
         A1689_31.1 7.35525954103 7.44160686397 7.70160564191
RCSGA_032727-132609 7.74631542936 7.99760562521 8.19091760031
        COSMOS-1908 6.81976951903 7.99536432582 8.02342409432
