         Name            R23         NII_Ha        OIII_Hb            O32       OIII_NII         Ne_OII           upR23        upNII_Ha       upOIII_Hb           upO32      upOIII_NII        upNe_OII     lowR23  lowNII_Ha lowOIII_Hb      lowO32 lowOIII_NII  lowNe_OII
------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------- --------------- --------------- --------------- --------------- --------------- ---------- ---------- ---------- ----------- ----------- ----------
       CSWA20        8.35692        8.20529        8.37597        7.98303        8.21149        7.87117        0.110368         0.14787       0.0578736       0.0976444        0.118167        0.138571    1.16259   0.264104   0.150144    0.151775    0.213938   0.184077
Abell_860_359        8.12949            nan        8.28241        8.13749            nan            nan       0.0854863             nan       0.0364222       0.0027098             nan             nan   0.100722        nan  0.0400627  0.00259923         nan        nan
   Abell_22.3        8.15583        7.83806        8.26976        8.17279        7.87856            nan       0.0917353      0.00608368       0.0552873       0.0219118       0.0174765             nan   0.132185 0.00539061  0.0625035   0.0216097     0.01823        nan
        RCSGA        8.13247         8.2337        8.40246        8.41499        8.23937        8.41578      0.00570507      0.00498041      0.00139182     0.000347878      0.00386734      0.00314888 0.00641969 0.00458047 0.00150657 0.000323621  0.00363585 0.00349168
   A1689_31.1        8.41858            nan        8.40086        8.03627            nan        8.13197      0.00160803             nan      0.00100584      0.00080729             nan      0.00449278 0.00159885        nan 0.00106291 0.000810891         nan 0.00463788
   SMACS_0304        8.26333        8.14883        8.41998        8.39561         8.1748        7.74123       0.0841235        0.126516       0.0402359       0.0121368        0.104223        0.335865   0.118592   0.228843  0.0518527   0.0127871    0.190427   0.213346
    MACS_0451        8.50552        8.03731        8.47713        8.07572        8.11421            nan       0.0440253       0.0137287       0.0319569      0.00303537       0.0199616             nan   0.060894  0.0134136  0.0399355   0.0027799    0.018985        nan
 COSMOS_12805        8.22952        8.10771        8.28051        8.33715        8.08674            nan        0.131211      0.00404763        0.117797       0.0122066       0.0473346             nan   0.156153 0.00359642   0.167364  0.00980978   0.0621962        nan
        BX660        8.19234        8.03699        8.25889        8.03139        8.03265            nan         0.12433       0.0177874       0.0948692        0.017306       0.0326936             nan   0.136545  0.0144161   0.129442   0.0144534   0.0389857        nan
         BX74        8.15065        8.21768        8.17332         8.0409        8.13066            nan        0.137559        0.148324        0.101968       0.0343907        0.123428             nan   0.122984   0.245437   0.148999   0.0343708    0.199645        nan
        BX418        8.24121         8.1961        8.26595        8.03842         8.1539            nan        0.121132       0.0411166       0.0828974       0.0141316       0.0463928             nan   0.148972  0.0503247   0.134282   0.0142198    0.053266        nan
    S16-stack          8.275        8.32375        8.45084        8.42121        8.32649         8.3412       0.0928842       0.0735622        0.039414       0.0129053       0.0643007         0.11318   0.129094   0.109234  0.0509621   0.0135608   0.0833781   0.083584
  COSMOS-1908        7.88739            nan        8.20265        7.86885            nan        7.84788        0.165595             nan        0.020719       0.0195153             nan       0.0315718   0.276002        nan  0.0239073   0.0219988         nan  0.0337183
 the_Lynx_arc        7.70986            nan        7.35424        7.66911            nan        7.51686       0.0807768             nan       0.0395751       0.0109881             nan        0.153508   0.110887        nan  0.0399231     0.01009         nan  0.0912055
   SMACS_2031        8.41255            nan        8.39965         8.0481            nan         7.9929       0.0231491             nan       0.0139468       0.0239362             nan       0.0443817  0.0258721        nan  0.0149703   0.0246889         nan  0.0444007
    SGAS_1050            nan            nan        8.08744        7.94582            nan        8.04853             nan             nan      0.00991043      0.00669247             nan        0.036114        nan        nan  0.0101471  0.00632865         nan  0.0318296
         MEAN 0.287067097919 0.163315899511 0.308511350554 0.153185725554 0.163660899511 -0.01078715706 0.0970801051546 0.0623656075859 0.0925297327147 0.0725599901927 0.0639688932813  0.114061548372        0.0        0.0        0.0         0.0         0.0        0.0
          STD 0.363963935674 0.190989127705 0.385059472786 0.281535669812 0.210437975608 0.357370439315 0.0660959799122  0.051515380134 0.0661066554883  0.048450525836 0.0641600616534  0.065916451498        0.0        0.0        0.0         0.0         0.0        0.0
          MAE 0.319392476641 0.202749476642 0.408957424533 0.251925082876 0.202094476642 0.317874349564 0.0869179439432 0.0485236284811 0.0652424599491 0.0497227559817 0.0528784029118 0.0550681522298        0.0        0.0        0.0         0.0         0.0        0.0
         MEAN 0.287067097919 0.163315899511 0.308511350554 0.153185725554 0.163660899511 -0.01078715706 0.0955772818835 0.0627146735036 0.0966176385297 0.0701108686355 0.0677594087938  0.116865927625        0.0        0.0        0.0         0.0         0.0        0.0
          STD 0.363963935674 0.190989127705 0.385059472786 0.281535669812 0.210437975608 0.357370439315 0.0635300654258 0.0537484864978 0.0692579430443 0.0488761464645 0.0600238904193 0.0674880270805        0.0        0.0        0.0         0.0         0.0        0.0
          MAE 0.319392476641 0.202749476642 0.408957424533 0.251925082876 0.202094476642 0.317874349564 0.0951126136871 0.0470103298919  0.070644649929  0.049923257581 0.0529260137272 0.0558466239831        0.0        0.0        0.0         0.0         0.0        0.0
