         Name     R23  NII_Ha OIII_Hb     O32  OII_Hb OIII_NII       upR23   upNII_Ha upOIII_Hb       upO32    upOII_Hb upOIII_NII      lowR23 lowNII_Ha lowOIII_Hb      lowO32 lowOII_Hb lowOIII_NII
------------- ------- ------- ------- ------- ------- -------- ----------- ---------- --------- ----------- ----------- ---------- ----------- --------- ---------- ----------- --------- -----------
       CSWA20  7.6628 7.84503     8.2     7.6 7.64899  8.21577    0.128111   0.189539       0.0    0.251598    0.651013  0.0873372   0.0628026  0.245032        0.0 5.44229e-10 0.0489871    0.615771
    USD-12539     nan 8.20856     8.2 8.05163 8.06368  8.38509         nan  0.0330079       0.0    0.139487     0.23632  0.0162401         nan   0.60856        0.0    0.451635   0.46368    0.785085
Abell_860_359  8.0665     nan     8.2 8.00468 8.09501      nan 2.06021e-05        nan       0.0      0.1234    0.204989        nan    0.250131       nan        0.0     0.40468  0.495011         nan
   Abell_22.3  8.0665 7.71269     8.2  7.8938 7.98886  8.15803 1.59494e-05   0.162449       0.0    0.148264    0.311136   0.106655    0.204827  0.112686        0.0    0.293797  0.388864    0.558031
        RCSGA 7.98218 8.31049     8.2  8.3178     8.3  8.40954   0.0173863 0.00877093       0.0  0.00154642 2.64677e-12 0.00435555   0.0158335  0.710494        0.0    0.717802       0.7    0.809537
   A1689_31.1 7.63379     nan     8.2 7.82263 7.64898      nan  0.00381183        nan       0.0  0.00575534     0.65102        nan   0.0035486       nan        0.0    0.222629 0.0489796         nan
   SMACS_0304 7.87146 7.82691     8.2   8.272     8.3  8.33988    0.195059   0.524174       0.0   0.0668256   1.114e-09   0.510123    0.203132  0.226907        0.0    0.671999       0.7    0.739876
    MACS_0451     7.6 7.90681     8.2 7.73109 7.64901  8.25205         0.7   0.270269       0.0    0.351916    0.650987   0.109775 5.19513e-09  0.306809        0.0    0.131087 0.0490132    0.652054
 COSMOS_12805  8.0665 8.06378     8.2 8.16602     8.3   8.2514 2.04823e-05   0.214161       0.0    0.188039 4.37706e-09   0.104497    0.189219  0.463781        0.0    0.566021       0.7    0.651396
        BX660  8.0665 7.97118     8.2 7.82182 7.91565   8.2104   2.183e-05   0.217829       0.0   0.0582848    0.384352   0.102001    0.367821  0.371182        0.0    0.221824  0.315648    0.610396
         BX74  8.0665 7.65479     8.2 7.71065  8.0127  8.37468 2.69272e-05   0.802845       0.0    0.406716    0.287303   0.475321    0.466499 0.0547881        0.0    0.110652  0.412697    0.774679
        BX418 8.06648 8.23596     8.2 7.84011 7.89353  8.33496 4.83135e-05  0.0808885       0.0   0.0504332    0.406471  0.0386916    0.466481  0.635965        0.0    0.240111  0.293529    0.734961
    S16-stack  7.8611 8.35926     8.2 8.31848     8.3  8.45426    0.205416   0.142044       0.0   0.0562117 1.71919e-10  0.0653737    0.184001  0.759258        0.0     0.71848       0.7    0.854257
  COSMOS-1908 8.06651     nan     8.2     7.6 7.64899      nan 1.26135e-05        nan       0.0 7.08766e-08    0.651013        nan    0.108156       nan        0.0 5.00549e-10 0.0489867         nan
    SGAS_1050 8.06652     nan     8.2     7.6 7.83755      nan 1.19182e-05        nan       0.0 1.07101e-08    0.462451        nan  1.3585e-05       nan        0.0 1.77636e-15  0.237549         nan
