         Name             R23         NII_Ha         OIII_Hb               O32            OII_Hb       OIII_NII           upR23        upNII_Ha       upOIII_Hb           upO32        upOII_Hb      upOIII_NII      lowR23  lowNII_Ha lowOIII_Hb      lowO32   lowOII_Hb lowOIII_NII
------------- --------------- -------------- --------------- ----------------- ----------------- -------------- --------------- --------------- --------------- --------------- --------------- --------------- ----------- ---------- ---------- ----------- ----------- -----------
       CSWA20         7.65258        7.97231         7.73833           7.63555             7.649          8.348        0.154987        0.444841        0.207164        0.308476        0.229134        0.501996   0.0525753   0.372315  0.0968098   0.0355533  4.9645e-05    0.209346
Abell_860_359         7.91484            nan          8.1136           8.03028           8.04491            nan       0.0772943             nan       0.0415734      0.00347034       0.0256369             nan   0.0695266        nan  0.0508789  0.00358905   0.0272831         nan
   Abell_22.3         8.16585        7.75359         8.12413           8.07816           8.10917        7.63952       0.0902566      0.00658127       0.0432585       0.0250013       0.0524861       0.0969652    0.275135 0.00605974  0.0575163   0.0282052   0.0470243 9.99355e-06
        RCSGA         8.12709        8.31332         8.24533            8.3237               8.3        8.27307       0.0118029      0.00491324      0.00150263     0.000275577             0.0      0.00329089   0.0172199 0.00504547 0.00178839 0.000288705         0.0   0.0032066
   A1689_31.1           7.634            nan         7.71756            7.8568           7.69791            nan      0.00204995             nan      0.00157928      0.00191049      0.00723458             nan  0.00215651        nan 0.00167443  0.00170133  0.00788123         nan
   SMACS_0304         8.30087        8.14696         8.26035           8.30598               8.3        8.25356       0.0755105        0.197725       0.0468919       0.0107741             0.0        0.596436    0.095499   0.546959  0.0594908   0.0107643 1.87176e-10    0.180912
    MACS_0451             7.6        8.04941         7.60371           7.93455           7.64899        8.14984       6.579e-09       0.0196223       0.0563612      0.00534434        0.118717       0.0214232 2.91895e-10  0.0191262 0.00371134  0.00567223    1.51e-05   0.0221171
 COSMOS_12805         8.28339        8.15584         8.19498           8.25403               8.3         8.1172         0.10148      0.00487265       0.0801908       0.0103461     4.21407e-10       0.0487772   0.0991828 0.00514922  0.0870977   0.0102508   0.0484188   0.0676501
        BX660         7.85431        8.04938         7.82348           7.84647           7.89357        8.05015       0.0931671        0.024928       0.0830794       0.0363302       0.0951941       0.0437047    0.119932  0.0217568  0.0898786   0.0392646     0.10038   0.0585582
         BX74         7.84383        8.13311         7.85526           7.87167           7.99535         8.2507        0.106872        0.279714       0.0712441       0.0628023        0.120849        0.599295    0.109983   0.533107  0.0716501   0.0911143    0.108906    0.245745
        BX418         7.80307        8.27285         7.81163           7.86479           7.90776        8.19806        0.127145       0.0463151       0.0947013       0.0320651       0.0929613       0.0428769    0.124179  0.0542768  0.0800938   0.0301825   0.0991092   0.0584175
    S16-stack         8.30796        8.40875         8.28609           8.32858               8.3        8.34506       0.0696645       0.0747739       0.0423723       0.0101935             0.0       0.0488764   0.0919669   0.116836  0.0520319   0.0110923         0.0   0.0693285
  COSMOS-1908         8.00098            nan             nan               7.6           7.64898            nan        0.119186             nan             nan     3.82517e-08     2.19538e-05             nan    0.112511        nan        nan   2.402e-09   0.0478983         nan
 the_Lynx_arc         8.12652            nan             nan               7.6           7.64898            nan       0.0111363             nan             nan     2.40884e-07     2.75994e-05             nan    0.112513        nan        nan 1.51104e-08    0.047904         nan
   SMACS_2031         7.64309            nan          7.7225           7.88231           7.75939            nan       0.0311598             nan       0.0240629       0.0458818       0.0670059             nan   0.0313249        nan  0.0231701   0.0573454    0.110412         nan
    SGAS_1050             nan            nan             nan               7.6           7.83649            nan             nan             nan             nan     6.82062e-09       0.0166132             nan         nan        nan        nan 4.25439e-10    0.236494         nan
         MEAN 0.0335817645861 0.154325899511 0.0409761101273 -0.00956302444608 -0.00783614944608 0.191289899511 0.0561948916429 0.0672312216096 0.0504083866023 0.0818402156718 0.0611725610348 0.0630983041541         0.0        0.0        0.0         0.0         0.0         0.0
          STD  0.218881745011 0.207434007619  0.197460057511    0.331799279581    0.252964774784 0.210746048188 0.0455223857253 0.0495046909293 0.0451663048821  0.059149798305 0.0480053796625 0.0614005951745         0.0        0.0        0.0         0.0         0.0         0.0
          MAE  0.167409461222 0.198181980837  0.143598206744    0.256972780305    0.189036762501 0.207879476642 0.0362789443963 0.0544893694734 0.0390774570892 0.0469265101191 0.0437339320317 0.0598409252867         0.0        0.0        0.0         0.0         0.0         0.0
         MEAN 0.0335817645861 0.154325899511 0.0409761101273 -0.00956302444608 -0.00783614944608 0.191289899511 0.0556568436276 0.0664642544277 0.0533822519332 0.0848428998957 0.0644908294733 0.0667905521934         0.0        0.0        0.0         0.0         0.0         0.0
          STD  0.218881745011 0.207434007619  0.197460057511    0.331799279581    0.252964774784 0.210746048188 0.0462442244757 0.0504564296987 0.0457429130052 0.0591194534678 0.0483731232824 0.0608345226642         0.0        0.0        0.0         0.0         0.0         0.0
          MAE  0.167409461222 0.198181980837  0.143598206744    0.256972780305    0.189036762501 0.207879476642 0.0372111123801 0.0517545680817 0.0373866179795 0.0510010545985 0.0409419065516 0.0608395479514         0.0        0.0        0.0         0.0         0.0         0.0
