         Name            R23         NII_Ha        OIII_Hb            O32         OII_Hb       OIII_NII           upR23        upNII_Ha       upOIII_Hb           upO32        upOII_Hb     upOIII_NII      lowR23   lowNII_Ha lowOIII_Hb      lowO32 lowOII_Hb lowOIII_NII
------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------- --------------- --------------- --------------- --------------- -------------- ----------- ----------- ---------- ----------- --------- -----------
       CSWA20        7.67443        7.88652            8.2            7.6        7.64899        8.23631        0.109083        0.165164             0.0        0.277116        0.651012      0.0714524   0.0744258     0.28652        0.0 1.56826e-09 0.0489875    0.636307
    USD-12539            nan        8.20159            8.2        8.04024        8.04863        8.38326             nan       0.0417126             0.0        0.170859         0.25137      0.0197555         nan    0.601588        0.0    0.440239   0.44863    0.783262
Abell_860_359         8.0665            nan            8.2        7.95301        8.05182            nan     2.15156e-05             nan             0.0        0.180256        0.248178            nan    0.259474         nan        0.0    0.353013  0.451822         nan
   Abell_22.3        8.06651        7.69747            8.2        7.89304        8.01274        8.14143     1.89204e-05        0.174254             0.0        0.158295        0.287259       0.109519    0.203696   0.0974656        0.0    0.293044  0.412741    0.541427
        RCSGA        7.98201        8.31035            8.2        8.31776            8.3        8.40975       0.0186778      0.00957683             0.0      0.00172495     1.77636e-15     0.00445126   0.0149509    0.710354        0.0    0.717763       0.7    0.809745
   A1689_31.1        7.63396            nan            nan        7.82196        7.64898            nan      0.00338925             nan             nan      0.00584942        0.651021            nan  0.00334835         nan        nan    0.221963 0.0489785         nan
   SMACS_0304        7.85256        7.75677            8.2        8.27585            8.3        8.32675        0.213956          0.5825             0.0       0.0565505     4.77485e-10       0.523253    0.181666    0.156775        0.0    0.675848       0.7    0.726747
    MACS_0451            7.6        7.97594            8.2         7.8042        7.64904        8.27566             0.7        0.207182             0.0        0.322123        0.650955       0.091208 4.05294e-09    0.375936        0.0    0.204199 0.0490445    0.675662
 COSMOS_12805         8.0665        8.09345            8.2        8.18622            8.3        8.27214     2.03705e-05        0.181912             0.0        0.162581     1.96609e-09      0.0928096    0.189796    0.493454        0.0    0.586223       0.7    0.672142
        BX660         8.0665        7.97282            8.2        7.81953        7.87194        8.21484     3.00832e-05        0.208124             0.0       0.0599082        0.428062      0.0942007    0.424143    0.372822        0.0    0.219531  0.271938    0.614841
         BX74         8.0665            7.6            8.2        7.65845        8.05341         8.3639     2.96623e-05        0.882234             0.0        0.478132         0.24659       0.486103    0.439499 2.07154e-08        0.0   0.0584537   0.45341    0.763897
        BX418        8.06644        8.26118            8.2        7.85117        8.01797        8.34973     8.06438e-05       0.0778916             0.0       0.0542255        0.282035      0.0394409    0.466434    0.661178        0.0    0.251172  0.417965    0.749729
    S16-stack        7.87015         8.3405            8.2        8.32041            8.3        8.44246        0.196372        0.146186             0.0       0.0554273     2.18302e-10      0.0717662    0.200903      0.7405        0.0    0.720412       0.7    0.842458
  COSMOS-1908        8.06651            nan            nan            7.6        7.64898            nan     1.12212e-05             nan             nan     5.17036e-08        0.651015            nan    0.121774         nan        nan 3.55271e-15 0.0489845         nan
    SGAS_1050        8.06651            nan            nan            7.6        7.83525            nan     1.43469e-05             nan             nan      7.7058e-09         0.46475            nan 2.12708e-05         nan        nan 5.32907e-15   0.23525         nan
          MAE 0.281782384957 0.240683109322 0.207744594762 0.477153167251 0.218562087341 0.296504993619 0.0323939943443 0.0939628448509 0.0224082500332 0.0398611092142 0.0726331177856 0.119955526297         0.0         0.0        0.0         0.0       0.0         0.0
          MAE 0.281782384957 0.240683109322 0.207744594762 0.477153167251 0.218562087341 0.296504993619 0.0323939943443 0.0939628448509 0.0224082500332 0.0398611092142 0.0726331177856 0.119955526297         0.0         0.0        0.0         0.0       0.0         0.0
          MAE 0.281782384957 0.240683109322 0.207744594762 0.477153167251 0.218562087341 0.296504993619 0.0323939943443 0.0939628448509 0.0224082500332 0.0398611092142 0.0726331177856 0.119955526297         0.0         0.0        0.0         0.0       0.0         0.0
