         Name   12+log(O/H)          err_OH 12+log(N/O) err_NO      U  errU
------------- ------------- --------------- ----------- ------ ------ -----
       CSWA20         7.497           0.103       -10.0  -10.0 -1.875 0.003
    USD-12539         7.613           0.201       -10.0  -10.0  -2.04 0.133
Abell_860_359           0.0             0.0       -10.0  -10.0    0.0   0.0
   Abell_22.3          7.81           1.602       -10.0  -10.0 -2.463 0.529
        RCSGA         7.561            1.92       -10.0  -10.0 -2.339 0.617
   A1689_31.1         5.375           3.862       -10.0  -10.0 -1.705  1.24
   SMACS_0304         7.933           0.202       -10.0  -10.0 -1.971 0.178
    MACS_0451         7.945           1.145       -10.0  -10.0 -2.432 0.376
 COSMOS_12805         8.114           0.338      -1.163 -1.163 -2.272 0.223
        BX660         7.691           1.575       -10.0  -10.0  -2.52 0.532
         BX74         8.114           0.157       -10.0  -10.0  -2.48 0.064
        BX418         7.845            0.29      -0.978 -0.978 -2.423 0.268
    S16-stack         8.537           0.368       -10.0  -10.0 -2.328  0.26
  COSMOS-1908         7.594           1.929      -4.735 -4.735 -2.421  0.64
    SGAS_1050         7.522           0.187      -1.014 -1.014 -2.213 0.028
          MAE 2.09537443337 0.0499261733009         0.0    0.0    0.0   0.0
          MAE 1.07534450316 0.0499261733009         0.0    0.0    0.0   0.0
          MAE 2.09537443337 0.0499261733009         0.0    0.0    0.0   0.0
