         Name 12+log(O/H) err_OH log(N/O) err_NO      U  errU
------------- ----------- ------ -------- ------ ------ -----
   A1689_31.1       7.806   0.02    -10.0  -10.0 -2.203 0.001
   Abell_22.3       8.076  0.063   -1.729 -1.729 -2.412 0.088
Abell_860_359       8.119  0.042    -10.0  -10.0 -2.283 0.051
        BX418       7.981  0.089   -1.026 -1.026 -2.281 0.084
        BX660       7.945  0.092   -1.275 -1.275 -2.274 0.076
         BX74       8.035  0.094   -4.003 -4.003 -2.351 0.105
  COSMOS-1908       7.898  0.075    -10.0  -10.0 -2.272 0.045
 COSMOS_12805       8.188   0.09   -1.631 -1.631 -2.691 0.128
       CSWA20       7.745  0.787   -4.558 -4.558  -2.16 0.243
    MACS_0451       7.817  0.087   -1.305 -1.305 -2.292 0.061
        RCSGA       8.226  0.036   -1.403 -1.403 -2.795 0.002
    S16-stack       8.273  0.088   -1.353 -1.353 -2.802 0.036
    SGAS_1050       7.989  0.065    -10.0  -10.0 -2.303 0.003
   SMACS_0304       8.233  0.096   -3.665 -3.665 -2.769 0.065
   SMACS_2031       7.833  0.042    -10.0  -10.0 -2.208 0.023
 the_Lynx_arc       7.919  0.091    -10.0  -10.0 -2.342   0.0
