       Name 12+log(O/H) err_OH log(N/O) err_NO      U  errU
----------- ----------- ------ -------- ------ ------ -----
 A1689_31.1       7.506  0.123    -10.0  -10.0 -1.932 0.001
 Abell_22.3        7.69  0.263   -1.225 -1.225 -2.085 0.116
COSMOS-1908       7.983  0.257    -10.0  -10.0 -1.958 0.216
     CSWA20       7.706  0.225   -4.027 -4.027  -2.17 0.262
      RCSGA       8.109  0.116    -1.43  -1.43 -2.741 0.001
  S16-stack       7.839  0.134    -1.23  -1.23 -2.651 0.034
  SGAS_1050       8.776  0.157    -10.0  -10.0 -2.604 0.003
  SL2SJ0217       7.554  0.114    -10.0  -10.0 -2.254 0.201
  UDS-12539       7.562   0.19   -1.032 -1.032 -2.228 0.042
