         Name            R23        OIII_Hb           O32         OII_Hb         Ne_OII        Ne_OIII          upR23       upOIII_Hb          upO32        upOII_Hb       upNe_OII      upNe_OIII   lowR23 lowOIII_Hb   lowO32 lowOII_Hb lowNe_OII  lowNe_OIII
------------- -------------- -------------- ------------- -------------- -------------- -------------- -------------- --------------- -------------- --------------- -------------- -------------- -------- ---------- -------- --------- --------- -----------
       CSWA20        7.67302         7.6599       7.83784        7.79204         7.8497            7.6        0.92698        0.537963       0.762158         1.18502       0.750301            1.4  0.17302   0.159904 0.237842 0.0920376  0.249699 4.29934e-08
    USD-12539            nan        7.84605        8.0618        8.00208         8.1189            9.0            nan        0.853951       0.538201        0.804039       0.481097    2.37226e-07      nan   0.346049 0.461799  0.302079  0.518903         1.4
Abell_860_359        7.91864        7.84529        8.0006        7.99585            nan            nan        0.68136        0.286142       0.599397        0.794962            nan            nan  0.41864   0.345286 0.400603  0.295846       nan         nan
   Abell_22.3        7.91864        7.84529       7.98301        7.99649            nan            nan       0.681355        0.220111       0.616987        0.840221            nan            nan 0.418645   0.345287 0.383013  0.296487       nan         nan
        RCSGA        7.99025        8.14743       8.24033         8.4195        8.27888            9.0       0.609754      0.00905688       0.359666     5.34554e-06       0.321122     1.1521e-07 0.490246   0.647432 0.640334  0.719503  0.678878         1.4
   A1689_31.1         8.3006         8.1447       7.93663        7.88205        8.06985            9.0       0.299404          0.5553       0.663373         1.07497       0.530148    2.41229e-07 0.800596     0.6447 0.336627  0.182047  0.469852         1.4
   SMACS_0304        7.91866         8.0214       8.21322        8.30067          7.984        7.60001       0.681343        0.678601       0.386781        0.229625       0.616001        1.39999 0.418657   0.521399 0.613219  0.600674  0.383999 6.83311e-06
    MACS_0451        8.32377        8.14047       7.95534        7.87285            nan            nan       0.276235        0.559531       0.644662         1.09363            nan            nan 0.823765   0.640469 0.355338  0.172854       nan         nan
 COSMOS_12805        7.91864        7.84529       8.15793        8.41941            nan            nan       0.681359        0.326918       0.442066     0.000110127            nan            nan 0.418642   0.345286 0.557934  0.719414       nan         nan
        BX660        7.91865         7.8453       7.93943        7.90717            nan            nan       0.681347        0.453407       0.660571         0.96937            nan            nan 0.418653   0.345297 0.339429  0.207165       nan         nan
         BX74        7.91865         7.8453       7.92927        7.97776            nan            nan        0.68135        0.854703       0.670734        0.834986            nan            nan  0.41865   0.345297 0.329266  0.277764       nan         nan
        BX418        7.91865        7.84529       7.94654        7.90994            nan            nan        0.68135        0.854713       0.653462        0.958022            nan            nan  0.41865   0.345287 0.346538  0.209936       nan         nan
    S16-stack        7.91866           8.12       8.25469        8.41949        8.20599            7.6       0.681345        0.579997       0.345313        0.100907       0.394005            1.4 0.418655   0.620003 0.654687  0.719494  0.605995 4.18835e-08
  COSMOS-1908        7.91864        7.84529       7.77994        7.81281        7.84501            9.0        0.68136        0.854713        0.82006         1.18719       0.754991    2.77259e-07  0.41864   0.345287  0.17994  0.112806  0.245009         1.4
    SGAS_1050        7.91864        7.84529        7.8742        7.92335        8.00075            9.0       0.681359     5.24259e-05         0.7258        0.990658       0.599252    4.13409e-07 0.418641   0.345286   0.2742  0.223351  0.400748         1.4
          MAE 0.364183373227 0.360744622071 0.25078935592 0.247801536367 0.300692244216 0.788763435382 0.101851377673 0.0797651235292 0.094582894158 0.0975425273993 0.179524246233 0.237276180097      0.0        0.0      0.0       0.0       0.0         0.0
