         Name            R23         NII_Ha        OIII_Hb            O32         OII_Hb       OIII_NII         Ne_OII           upR23        upNII_Ha       upOIII_Hb           upO32        upOII_Hb      upOIII_NII        upNe_OII      lowR23  lowNII_Ha  lowOIII_Hb      lowO32  lowOII_Hb lowOIII_NII  lowNe_OII
------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------- --------------- --------------- --------------- --------------- --------------- --------------- ----------- ---------- ----------- ----------- ---------- ----------- ----------
       CSWA20        7.65796        7.85376        8.07863        7.30252        7.99788        7.93489        7.39244        0.842042        0.129703        0.321366         0.26225       0.0606018        0.108592        0.207624   0.0777001   0.186381    0.448232    0.302516  0.0832197    0.934886   0.342664
    USD-12539            nan        8.22321        8.16549        7.96968        8.20976        8.21907        8.12508             nan       0.0284694        0.234512        0.130337       0.0765108       0.0207465         0.15606         nan  0.0342103    0.563121    0.247977   0.103814   0.0305927   0.252188
Abell_860_359        8.04587            nan        7.89346        7.83038        8.19826            nan            nan     1.38807e-05             nan        0.506544        0.149451       0.0830269             nan             nan    0.266046        nan 4.87442e-05     0.23261  0.0878833         nan        nan
   Abell_22.3        8.04587        7.61219        7.89345        7.72496        8.16943        7.68805            nan     1.30269e-05        0.181411        0.506551        0.124013       0.0602747        0.272553             nan    0.140781   0.270031 2.84598e-05    0.194027  0.0699633    0.688046        nan
        RCSGA        8.04588        8.35445         8.1669        8.28828        8.94482        8.25745        8.41641     1.51042e-05       0.0078433        0.233097      0.00172827      0.00299548      0.00589462      0.00628298 5.19534e-06 0.00716995    0.550099  0.00225305 0.00324611  0.00569165 0.00538774
   A1689_31.1        7.57498            nan        8.15933        7.56357        8.05439            nan        7.93637      0.00375467             nan        0.240672      0.00347002      0.00115177             nan      0.00934442  0.00396504        nan    0.535675  0.00330678 0.00113905         nan  0.0112651
   SMACS_0304         8.0458         8.0402        7.95095        8.24752        8.76905        8.21061        9.01505     8.45185e-05        0.324858        0.449048       0.0764685        0.205376        0.989384        0.184951    0.405576     1.0402     0.44022   0.0635291   0.441098    0.845311    2.44838
    MACS_0451        7.79547        7.99668        8.25056         7.6973        8.05318        8.04687            nan        0.704531        0.165695         0.14944         0.22991       0.0857675        0.115698             nan    0.393522   0.309694    0.785139     0.40678   0.111538    0.922749        nan
 COSMOS_12805        8.04586        8.14384        7.89345        8.18633        8.70245        8.03861            nan     3.03918e-05        0.141814        0.506549        0.157722         0.16305         0.11247             nan    0.105387   0.310352 6.11782e-05    0.246247   0.473567    0.673645        nan
        BX660        8.04586        8.00513        7.89345        7.57596        8.10745        7.87929            nan     3.57166e-05         0.16231        0.506545       0.0439957        0.145604        0.182643             nan    0.400536   0.312888 0.000350387   0.0415004  0.0856152    0.879295        nan
         BX74        8.04585        8.11445        7.89345        7.59257         8.1502        8.28169            nan     3.96751e-05        0.440463        0.506555        0.296405        0.188953        0.918311             nan    0.406711    1.11445 0.000541004    0.477309   0.155654     0.91662        nan
        BX418        8.04584        8.29603        7.89345        7.59816        8.11676        8.14837            nan      5.1849e-05       0.0626401        0.506547       0.0382588        0.169716       0.0482109             nan    0.448373  0.0794917    0.104465   0.0354044  0.0824945   0.0759578        nan
    S16-stack        8.04573         8.5094        8.10524         8.3217        8.86255        8.37068        8.28354     0.000150656        0.118513        0.294763       0.0598992        0.106622       0.0760802        0.184911    0.383045   0.164743     0.62174   0.0651238   0.493143    0.160062   0.126932
  COSMOS-1908        8.04587            nan        7.89345            7.0        7.99491            nan        7.35282     1.19771e-05             nan        0.506554        0.144812       0.0337735             nan         0.15083 4.00697e-05        nan  3.3287e-05 2.55897e-09  0.0341765         nan   0.147624
    SGAS_1050        8.04587            nan        7.89344        7.34416        8.09582            nan        7.77974     2.00512e-06             nan        0.506557       0.0163375      0.00467897             nan       0.0701258 1.23273e-05        nan 3.90881e-05   0.0212645 0.00521951         nan  0.0721266
          MAE 0.248980932867 0.218040315091 0.305237086096 0.435974074302 0.404794462133 0.167216107365 0.493455077542 0.0313178793408 0.0735125602838 0.0684997079812 0.0304888701177 0.0310252768434 0.0878317324681 0.0665597088702         0.0        0.0         0.0         0.0        0.0         0.0        0.0
