         Name                  R23              NII_Ha              OIII_Hb                 O32              OII_Hb            OIII_NII              Ne_OII                upR23             upNII_Ha            upOIII_Hb                upO32             upOII_Hb           upOIII_NII            upNe_OII       lowR23    lowNII_Ha   lowOIII_Hb        lowO32    lowOII_Hb  lowOIII_NII     lowNe_OII
------------- -------------------- ------------------- -------------------- ------------------- ------------------- ------------------- ------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- ------------------- ------------ ------------ ------------ ------------- ------------ ------------ -------------
       CSWA20            7.5948057            7.898402            7.6248736           7.4674416            8.034393            8.374344           7.4300127           0.18235351            0.5993369           0.13726984            0.2556892             0.084771           0.82565624          0.33447504  0.110233076    0.8984022   0.09519128     0.4674414   0.10961581   0.46903148    0.39142916
Abell_860_359             7.882499                 nan            7.7833085            7.821763             8.19807                 nan                 nan           0.08071576                  nan           0.04370758          0.005623005          0.016173337                  nan                 nan   0.08804986          nan  0.053609774   0.005377906  0.015904842          nan           nan
   Abell_22.3             7.856366            7.587408             7.848036           7.8938255            8.241049            7.649188                 nan           0.08281333         0.0121485675           0.20107532          0.042354763           0.03780929          0.019717189                 nan    0.1081794  0.010791088   0.13096875   0.043754112   0.03406779    0.5768586           nan
        RCSGA                  nan            8.354344             8.167981            8.297644            8.472288             8.25505            8.418936                  nan          0.007269033         0.0032720605         0.0004919437         0.0019113387          0.005125005        0.0053874776          nan 0.0074007837 0.0032065625  0.0005142913 0.0019161513 0.0061675906  0.0050372616
   A1689_31.1            7.5749035                 nan            7.6197805           7.5977554            8.063444                 nan           7.9377685          0.002093269                  nan         0.0020511057         0.0019747473         0.0007810006                  nan         0.008332866 0.0021735786          nan 0.0021312449  0.0020468687 0.0007519782          nan   0.008282406
   SMACS_0304             8.350711            8.111442             8.207089            8.269153            8.417821             8.22007            8.717438           0.12244792             0.272429          0.072871625           0.01976567           0.06310842           0.97992843          0.48256263   0.12593167    1.1114417  0.095854595   0.020625269  0.045033723   0.85506105     1.7174374
    MACS_0451            7.4633512           7.9988112            7.4809036           7.6902113            8.055948            8.051567                 nan           0.08246743          0.026880445           0.07290713          0.007702554           0.02124735         0.0040766303                 nan   0.04729096  0.023887426   0.04398931  0.0069980468  0.014297803 0.0049817045           nan
 COSMOS_12805              8.37464            8.135693             8.149152            8.176955            8.439037            8.035305                 nan            0.1241752          0.006686383           0.09684888          0.017430233           0.10745985          0.012524257                 nan   0.14914407 0.0067704488   0.10685671   0.016770253   0.08763673   0.01702426           nan
        BX660            7.7787914            8.000868            7.6979184           7.5836635             8.12073           7.9202776                 nan          0.120822154           0.03101619           0.10494912          0.043993816          0.049506273          0.019740082                 nan   0.13475144  0.028845076    0.0892913   0.039840948   0.03833038   0.92027766           nan
         BX74            7.7526603            8.125358             7.732067            7.618333            8.171085            8.238462                 nan            0.1417855           0.38296634           0.07015407          0.078397475           0.09191721            0.9615369                 nan   0.11589267    1.1253573   0.09407318    0.08801729  0.057443995    0.7097915           nan
        BX418             7.729172            8.288673             7.700985            7.607598            8.124914            8.139392                 nan           0.13384506           0.07518431           0.07657785           0.03188792          0.044174775          0.052493576                 nan   0.13482346  0.081729785  0.098803654    0.03684711   0.03790145   0.09183765           nan
    S16-stack              8.36243            8.502895             8.256387            8.308426            8.431791            8.372472            8.292924          0.124082364           0.11442617          0.064902835          0.017684191          0.054311886          0.074894555          0.19170031   0.12763406   0.16917726    0.0884083   0.019455334   0.04979519   0.17863725    0.14100625
  COSMOS-1908                  nan                 nan                  nan           7.0515456            8.010595                 nan             7.35744                  nan                  nan                  nan           0.08978651          0.014621242                  nan          0.07784008          nan          nan          nan    0.05154538  0.020932525          nan    0.07480881
 the_Lynx_arc                  nan                 nan                  nan                 7.0           7.8998213                 nan                 7.0                  nan                  nan                  nan        2.9894167e-08        1.7816859e-12                  nan        4.738844e-08          nan          nan          nan 3.8253605e-09   0.89982134          nan 2.6738292e-09
   SMACS_2031             7.582343                 nan             7.622988            7.625612            8.072962                 nan           7.6718225          0.034485105                  nan          0.031966675          0.061130807          0.019587915                  nan           0.0973505  0.030779183          nan  0.028070467     0.0617688  0.019593727          nan    0.09970423
    SGAS_1050                  nan                 nan                  nan           7.3517003            8.097298                 nan           7.7868958                  nan                  nan                  nan          0.017181493          0.005214047                  nan         0.062738106          nan          nan          nan   0.021576103 0.0054583754          nan    0.06550001
         MEAN -0.03998500756647442 0.12916331951086502 -0.08252238218043204 -0.2377656994460805  0.2303354943039198 0.15438665951086525 -0.1545963237267148  0.05874227948613421  0.06928462213146667  0.05600396690465908   0.1070582985588668  0.05801264636610541  0.06658761717394734 0.16644643062004866          0.0          0.0          0.0           0.0          0.0          0.0           0.0
          STD  0.20998249358918367 0.22596947449199473  0.18848950401150683   0.411792115354875 0.24002949342786528 0.20599395642758744   0.481924582410316  0.03242663557067883 0.040305461528128084  0.02833257232022091 0.060108713509848956  0.04221609889150128 0.051702176088554375 0.05730257974551759          0.0          0.0          0.0           0.0          0.0          0.0           0.0
          MAE  0.18342815030404314 0.20171044958607354  0.16514886557765004 0.35587400300758776 0.27036254191695247 0.19405323664216628 0.44039280422329585  0.03263976881068042 0.049341950020326764   0.0339214189495179  0.08199055144191465  0.04884911479811535  0.05461560089017451  0.0802850266973978          0.0          0.0          0.0           0.0          0.0          0.0           0.0
