         Name        R23     NII_Ha    OIII_Hb        O32       OII_Hb  OIII_NII       Ne_OII      Ne_OIII        upR23    upNII_Ha    upOIII_Hb        upO32     upOII_Hb   upOIII_NII     upNe_OII    upNe_OIII       lowR23    lowNII_Ha   lowOIII_Hb        lowO32    lowOII_Hb  lowOIII_NII    lowNe_OII   lowNe_OIII
------------- ---------- ---------- ---------- ---------- ------------ --------- ------------ ------------ ------------ ----------- ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------- ------------ ------------ ------------ ------------
       CSWA20 0.85224617 -1.3083041 0.69198394  0.9503543   -0.2548361 1.5482838 -0.106134675   -1.0656211  0.057398256  0.31251577   0.05748184   0.27157375   0.18840979   0.48696706    0.2697725   0.10973689  0.058436595    0.4950369  0.055767387    0.18142499   0.27233216   0.32237014   0.22739972   0.14328307
Abell_860_359 0.97000027        nan  0.7831571  0.6819951   0.10013508       nan          nan          nan  0.032242242         nan    0.0332839  0.004988339  0.032688994          nan          nan          nan  0.026809165          nan  0.029369555  0.0043254406  0.026903607          nan          nan          nan
   Abell_22.3  0.9833649 -2.0042048  0.7928347  0.6191392   0.17215656 2.2298505          nan          nan  0.046449393 0.012561555  0.047035154  0.040639024  0.057915185 0.0063845403          nan          nan   0.04171333   0.01123744   0.04238444   0.034184754   0.05318143 0.0068233395          nan          nan
        RCSGA 0.96193755 -1.1966386 0.67700523 0.21185817   0.46522754 1.4391265  -0.97696084   -1.1888773 0.0015498212 0.009182852 0.0015788082 0.0005967171 0.0015083094  0.009468606  0.004821588 0.0049903416 0.0014592818  0.009548469  0.001490635 0.00053687044 0.0015825421  0.009206947  0.005341066  0.004890467
   A1689_31.1  0.8374121        nan 0.67861104  0.8538895  -0.17536165       nan  -0.52675605   -1.3808067 0.0009933534         nan 0.0009739243 0.0014102879 0.0018601035          nan 0.0072534936 0.0076989606 0.0010082967          nan 0.0010259866   0.001468494 0.0015841263          nan 0.0070384936 0.0065262485
   SMACS_0304 0.93171954   -1.37625  0.6617682 0.24538624   0.41638196   1.57466   0.13352671 -0.104842275  0.052314237  0.25782666  0.053872008   0.02270142  0.054126572   0.43478385    0.2740267   0.25857773   0.04715343   0.41854316  0.046078205   0.021105094  0.047807243   0.26185834    0.4632136    0.4689177
    MACS_0451 0.77628225  -1.599548 0.59825516  0.7862365  -0.18919449 1.7891889          nan          nan   0.04520492 0.026258674  0.044474322 0.0051812176  0.044887245 0.0051812176          nan          nan  0.036321543   0.02643265   0.03822355  0.0047291033  0.038284235 0.0047291033          nan          nan
 COSMOS_12805   1.065616 -1.4533583  0.8233688 0.34383777   0.47970724 1.8122997          nan          nan    0.1417564 0.007137547   0.15237054  0.016189858   0.14610037  0.016189858          nan          nan  0.121718235 0.0073580714   0.11959446   0.018140506   0.11638273  0.018140506          nan          nan
        BX660  1.0207636 -1.6000376 0.80730426 0.86166346 -0.053221207  1.962395          nan          nan   0.09704081 0.034191635   0.09313622  0.027758045   0.08925983   0.01937672          nan          nan  0.093162686  0.028121362  0.083466046    0.02463873  0.083481826   0.01937792          nan          nan
         BX74  1.0604469 -1.2196347 0.89333093  0.8368759  0.060128633 1.6163118          nan          nan   0.13155097  0.26785627   0.13382755   0.06777632   0.12928568    0.4697337          nan          nan    0.0936251   0.45399562   0.09065865    0.05799311   0.11416004    0.2617444          nan          nan
        BX418   0.978082 -1.2725283 0.80419445 0.84773767  -0.04171105 1.6312271          nan          nan  0.103558905  0.08620747   0.09761411  0.020457571  0.091973335   0.08477267          nan          nan   0.08226027   0.08294905  0.080083214   0.026467722   0.07654089  0.083226725          nan          nan
    S16-stack  0.9180444 -1.0075476  0.6257269  0.2019006   0.42079782 1.1816609   -0.8392892   -1.0434047   0.05487919  0.13869444  0.056245856   0.02117357  0.056312587   0.20780443   0.12611413   0.12997518  0.044969194   0.21017426  0.047619965    0.01987113  0.039471973   0.13472496    0.2090543   0.19966851
  COSMOS-1908  0.9885516        nan  0.8427913  1.1351125  -0.29121336       nan  -0.07758864   -1.2143716  0.014421765         nan  0.013984502    0.0377001  0.038675882          nan  0.051850855  0.034165487  0.014839965          nan   0.01447392    0.03649205   0.03979236          nan  0.058709215   0.04213755
 the_Lynx_arc  1.0148919        nan  0.8739926  1.4742004   -0.6002077       nan   0.46308312   -1.0112453  0.015670275         nan  0.014280551  0.014280551          0.0          nan    0.1434067   0.14515655  0.019043408          nan  0.015135337   0.015135337          0.0          nan   0.24020453   0.23691702
   SMACS_2031 0.83998805        nan  0.6800181 0.83508354  -0.15533806       nan  -0.30866906   -1.1425827  0.013504946         nan  0.012821127   0.04457548  0.040994495          nan  0.078541376   0.05551032  0.013775637          nan  0.015041902     0.0392072  0.043956373          nan   0.07866888   0.06425951
    SGAS_1050  1.0501223        nan 0.90736455  1.0063868  -0.09981987       nan  -0.38867685   -1.3983419   0.00426654         nan  0.003999073  0.009635645  0.013099619          nan   0.04415591  0.049615923 0.0038689396          nan 0.0039478634   0.010927605   0.01029953          nan  0.062473882  0.058597334
