         Name             R23         NII_Ha         OIII_Hb              O32           OII_Hb       OIII_NII           upR23        upNII_Ha       upOIII_Hb           upO32        upOII_Hb      upOIII_NII      lowR23  lowNII_Ha lowOIII_Hb      lowO32   lowOII_Hb lowOIII_NII
------------- --------------- -------------- --------------- ---------------- ---------------- -------------- --------------- --------------- --------------- --------------- --------------- --------------- ----------- ---------- ---------- ----------- ----------- -----------
       CSWA20         7.64919        7.97293         7.73294          7.67325            7.649        8.47848        0.132019        0.428204        0.170081        0.266407        0.209319        0.371518   0.0491938   0.372929  0.0911019    0.073254 3.66507e-05    0.168698
Abell_860_359         7.90436            nan         8.11811          8.02941          8.04219            nan       0.0804681             nan       0.0488063      0.00435829         0.03297             nan   0.0739768        nan  0.0489806  0.00448171   0.0283174         nan
   Abell_22.3         7.89001        7.75431         7.92617          7.96305          7.99892        8.18464        0.122357       0.0206636        0.206046       0.0884471       0.0992024      0.00770316    0.103776  0.0183982  0.0917543    0.174551    0.151928  0.00799149
        RCSGA         8.11583        8.31337          8.2467          8.32753              8.3        8.40662         0.01279      0.00455672      0.00142994     0.000266326             0.0      0.00233921   0.0158608 0.00478139 0.00142091 0.000274826         0.0  0.00242101
   A1689_31.1         7.63395            nan         7.72017          7.83373          7.64898            nan      0.00234118             nan      0.00189016       0.0024617     2.12947e-06             nan  0.00241456        nan 0.00185226  0.00260238 2.46074e-06         nan
   SMACS_0304         8.30172        8.12254         8.26537          8.30701              8.3        8.40095       0.0733235        0.210936       0.0430727        0.011387             0.0        0.449047   0.0934949   0.522538   0.057717   0.0122797 2.98908e-11    0.151424
    MACS_0451             7.6        8.04952         7.60371          7.92307          7.64899        8.30347      0.00361666       0.0219595       0.0603875       0.0059233       0.0987069      0.00186779 2.86058e-10  0.0202003 0.00371041  0.00590194 1.07923e-05  0.00183434
 COSMOS_12805         8.28273         8.1557         8.20627          8.25122              8.3        8.29426        0.103777      0.00521326       0.0724164       0.0112226     7.51129e-10      0.00686004   0.0927977 0.00568586  0.0814714    0.010876    0.056711  0.00657336
        BX660         7.83585        8.04952         7.82551          7.83801          7.88541        8.24218        0.119107       0.0274798       0.0852284       0.0391448       0.0986607      0.00694617    0.107764  0.0237251  0.0931808   0.0476648    0.102948  0.00804731
         BX74         7.88785        8.13483         7.88152          7.91761          8.02842        8.38636       0.0921164        0.272075       0.0721552       0.0466116       0.0947362        0.463636    0.110481   0.534831  0.0844741   0.0639524   0.0861587    0.161956
        BX418         7.80842        8.28344          7.8223           7.8665          7.90562        8.42462        0.126431        0.180369       0.0947526       0.0482505       0.0970393        0.425383    0.118502   0.683443  0.0847315   0.0611461    0.117003    0.132955
    S16-stack         8.30013        8.41303         8.29366          8.33762              8.3        8.47798       0.0670961       0.0718001       0.0365177       0.0099118             0.0       0.0349419   0.0843249   0.125332   0.048044   0.0101952         0.0   0.0610619
  COSMOS-1908         8.00829            nan             nan              7.6          7.64898            nan        0.107135             nan             nan     3.93055e-08      2.1234e-05             nan   0.0707476        nan        nan 2.83252e-09    0.048073         nan
 the_Lynx_arc         8.03048            nan             nan              7.6          7.64898            nan        0.118179             nan             nan     2.62764e-07     2.84394e-05             nan   0.0795211        nan        nan 1.50475e-08   0.0479038         nan
   SMACS_2031         7.64108            nan         7.72101          7.87815          7.75081            nan        0.033525             nan       0.0250733       0.0461164       0.0738734             nan   0.0284713        nan  0.0223227   0.0597345    0.101831         nan
    SGAS_1050             nan            nan             nan              7.6          7.83358            nan             nan             nan             nan     6.32381e-09       0.0173028             nan         nan        nan        nan 4.39922e-10     0.23358         nan
         MEAN 0.0109756013447 0.156868053958 0.0326006217669 -0.0118887556069 -0.0154062556069 0.391905053958 0.0421728582833 0.0651426849761 0.0463481483777 0.0791782183206 0.0578128667274 0.0703299381682         0.0        0.0        0.0         0.0         0.0         0.0
          STD  0.173635073747 0.210079201607   0.16573821612   0.316924052949   0.240323310515 0.220669938104 0.0297243661579 0.0484005979245 0.0305885570908 0.0624039813522 0.0466466152367 0.0482001088244         0.0        0.0        0.0         0.0         0.0         0.0
          MAE   0.14285796429  0.20846313236  0.127620876322   0.243274334112   0.177541715409 0.391905053958 0.0264092681957 0.0507125582683 0.0320364457588 0.0516007805405 0.0399665525914 0.0707410113231         0.0        0.0        0.0         0.0         0.0         0.0
