         Name 12+log(O/H) err_OH log(N/O) err_NO      U  errU
------------- ----------- ------ -------- ------ ------ -----
   A1689_31.1       7.821  0.035    -10.0  -10.0 -2.205   0.0
   Abell_22.3        8.04    0.1   -1.525 -1.525 -2.283 0.096
Abell_860_359       8.116  0.047    -10.0  -10.0 -2.289 0.069
        BX418        7.97  0.102   -3.286 -3.286  -2.29 0.094
        BX660       7.958  0.049   -1.232 -1.232 -2.245 0.025
         BX74       8.058  0.079   -3.658 -3.658  -2.33 0.089
  COSMOS-1908       7.896  0.073    -10.0  -10.0 -2.269 0.041
 COSMOS_12805       8.173   0.06   -1.619 -1.619 -2.686 0.034
       CSWA20       7.818  0.116   -4.632 -4.632 -2.194 0.123
    MACS_0451       7.764  0.069   -1.094 -1.094 -2.242 0.041
        RCSGA       8.259  0.035    -1.44  -1.44 -2.796 0.001
    S16-stack       8.287  0.091   -1.286 -1.286 -2.801 0.042
    SGAS_1050       7.989  0.065    -10.0  -10.0 -2.302 0.002
    SL2SJ0217         0.0    0.0    -10.0  -10.0    0.0   0.0
   SMACS_0304        8.22  0.103   -3.363 -3.363 -2.777 0.056
   SMACS_2031       7.823  0.042    -10.0  -10.0 -2.207 0.021
 the_Lynx_arc       7.909  0.093    -10.0  -10.0 -2.327 0.026
    UDS-12539       8.021  0.153    -1.11  -1.11 -2.445 0.158
