         Name              R23         NII_Ha          OIII_Hb             O32         OII_Hb       OIII_NII          Ne_OII           upR23        upNII_Ha       upOIII_Hb           upO32        upOII_Hb      upOIII_NII        upNe_OII     lowR23  lowNII_Ha lowOIII_Hb      lowO32  lowOII_Hb lowOIII_NII   lowNe_OII
------------- ---------------- -------------- ---------------- --------------- -------------- -------------- --------------- --------------- --------------- --------------- --------------- --------------- --------------- --------------- ---------- ---------- ---------- ----------- ---------- ----------- -----------
       CSWA20          7.59398        7.94293          7.61262         7.47789        8.03407        8.34312         7.42306        0.154053        0.541979         0.12319        0.239837       0.0770329        0.856875        0.279572   0.115123   0.942932  0.0974579    0.477885   0.104249    0.508568    0.374476
Abell_860_359          7.86499            nan          7.77493         7.82016        8.19779            nan             nan        0.090253             nan       0.0614345      0.00669314       0.0214312             nan             nan  0.0917215        nan  0.0604782  0.00615244  0.0175416         nan         nan
   Abell_22.3          7.82004        7.59046          7.76653         7.71818        8.16473        7.78044             nan        0.107467       0.0383774       0.0835576        0.128873       0.0643774       0.0315981             nan   0.112499  0.0328296  0.0787471     0.19033  0.0670244    0.780437         nan
        RCSGA              nan        8.35464          8.17061         8.30436        8.48003         8.2496         8.41815             nan      0.00691371      0.00292316     0.000419711      0.00164504      0.00488102       0.0049358        nan 0.00735257 0.00262744 0.000450361 0.00190956   0.0073013  0.00434359
   A1689_31.1          7.57472            nan          7.62319         7.57284        8.05678            nan          7.9353      0.00229824             nan      0.00237169      0.00255125     0.000841381             nan       0.0104985 0.00248061        nan 0.00245798  0.00248063 0.00092887         nan  0.00987856
   SMACS_0304          8.34233        8.12233          8.20335         8.26984        8.42487        8.23888         8.29663        0.128489        0.287475       0.0717717       0.0188787       0.0690003        0.961115        0.903367   0.136676    1.12233   0.100773   0.0195627  0.0482717    0.529354     1.29663
    MACS_0451          7.46928        8.00092           7.4875         7.67614        8.05309        8.05571             nan        0.069307       0.0266512       0.0627124      0.00719415       0.0187893      0.00369842             nan  0.0578989   0.025696  0.0542316  0.00705047  0.0175749  0.00462515         nan
 COSMOS_12805          8.36603        8.13572          8.13801         8.17261        8.42571        8.03614             nan        0.152338      0.00717531        0.111727       0.0197762        0.109019        0.014524             nan   0.177436 0.00674616   0.111613   0.0170495  0.0787472   0.0175745         nan
        BX660          7.74634        7.99988          7.68698           7.577        8.11352        7.92332             nan        0.139516       0.0306097       0.0882162       0.0400567       0.0485949       0.0202659             nan   0.114519  0.0284594  0.0961572   0.0428215  0.0383406    0.923316         nan
         BX74          7.81679        8.16799          7.73096         7.67187         8.1886        8.19513             nan        0.113328        0.326063       0.0850152       0.0601295       0.0984126         1.00487             nan   0.120276    1.16799   0.086468   0.0769071  0.0486091    0.830096         nan
        BX418          7.73432        8.28229          7.68455         7.61109        8.12173        8.28705             nan        0.139653        0.302785        0.112197       0.0552045       0.0513284        0.912952             nan   0.127113    1.28229  0.0813793   0.0747402  0.0396467    0.521597         nan
    S16-stack          8.35633        8.49843          8.25337         8.32253        8.44799        8.36504         8.29033        0.101511        0.120866       0.0630512        0.017439       0.0576892       0.0725725        0.154425   0.143774   0.172221  0.0759338     0.01801  0.0467986    0.172577    0.117189
  COSMOS-1908              nan            nan              nan         7.05809         8.0117            nan         7.36681             nan             nan             nan       0.0899072         0.01572             nan       0.0701067        nan        nan        nan   0.0580903  0.0247741         nan   0.0781142
 the_Lynx_arc              nan            nan              nan             7.0        7.89918            nan             7.0             nan             nan             nan     2.70114e-08     1.35891e-12             nan     5.47922e-08        nan        nan        nan  3.4352e-09   0.899181         nan 3.23223e-09
   SMACS_2031          7.58109            nan          7.62276         7.62289        8.07217            nan         7.67113       0.0355135             nan       0.0336695       0.0569907       0.0196114             nan       0.0974709  0.0300869        nan  0.0284156   0.0702451  0.0222546         nan    0.103958
    SGAS_1050              nan            nan              nan         7.34321        8.09573            nan         7.77833             nan             nan             nan       0.0206648       0.0053666             nan       0.0677037        nan        nan        nan   0.0198392 0.00495454         nan   0.0636123
         MEAN -0.0409978727567 0.141508053958 -0.0910978397715 -0.244855005607 0.228206869393 0.179392053958 -0.203020760371 0.0590573284762 0.0692993283373 0.0502804878895 0.0957737413126 0.0571575702124 0.0655350690942  0.147738566317        0.0        0.0        0.0         0.0        0.0         0.0         0.0
          STD   0.201323538334 0.214134587087   0.184569229466  0.397048906788 0.234040083957 0.209590724301   0.43748636875 0.0318047093051 0.0407301134542 0.0255857607871  0.062018198365 0.0416084327397 0.0477282219501 0.0612465387509        0.0        0.0        0.0         0.0        0.0         0.0         0.0
          MAE     0.1777971736  0.20314113236   0.167074366701  0.342461524336 0.268116604632 0.218626377954  0.391716056913 0.0277963825395 0.0472441111383 0.0331676627945 0.0792100423305 0.0444473747999 0.0528923367124 0.0968878443197        0.0        0.0        0.0         0.0        0.0         0.0         0.0
