         Name      R23   NII_Ha  OIII_Hb      O32     OII_Hb OIII_NII     Ne_OII    Ne_OIII      upR23   upNII_Ha  upOIII_Hb       upO32   upOII_Hb upOIII_NII   upNe_OII  upNe_OIII     lowR23  lowNII_Ha lowOIII_Hb      lowO32  lowOII_Hb lowOIII_NII  lowNe_OII lowNe_OIII
------------- -------- -------- -------- -------- ---------- -------- ---------- ---------- ---------- ---------- ---------- ----------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------- ---------- ----------- ---------- ----------
       CSWA20 0.849447 -1.24881 0.689605 0.955997  -0.263645  1.50126  -0.119151   -1.05604  0.0598392   0.288118  0.0513661    0.238368   0.191031   0.490295   0.283311   0.111908  0.0493487   0.512788  0.0481963    0.175449   0.237485    0.293041   0.225516   0.162397
Abell_860_359 0.972289      nan 0.785874 0.683057   0.101359      nan        nan        nan  0.0384727        nan  0.0384951  0.00477872  0.0394315        nan        nan        nan  0.0297272        nan  0.0311797  0.00516488  0.0284951         nan        nan        nan
   Abell_22.3 0.982371 -2.00389 0.810246 0.777458  0.0397544  2.11093        nan        nan  0.0474347  0.0382075  0.0525787    0.130358   0.119607  0.0208038        nan        nan   0.048242  0.0322938  0.0396618    0.109687   0.137806    0.019542        nan        nan
        RCSGA  0.96304 -1.19657 0.675703 0.204288   0.471361  1.44983  -0.976745   -1.18106 0.00147745 0.00870945 0.00138085 0.000559917 0.00151919 0.00955068 0.00489347 0.00480115 0.00117896 0.00997785 0.00124755 0.000471239 0.00130772  0.00907847 0.00501218 0.00512956
   A1689_31.1 0.837451      nan 0.680337 0.870864  -0.190695      nan  -0.524447   -1.39564 0.00108033        nan 0.00109074  0.00182494  0.0022422        nan 0.00781676 0.00776848 0.00113773        nan 0.00108389  0.00166406 0.00178406         nan 0.00859894 0.00799366
   SMACS_0304 0.927503   -1.369 0.657767 0.241832   0.419443   1.5724   0.154817 -0.0898384    0.05887   0.270233   0.056414   0.0212305  0.0586011   0.457313   0.325973    0.34194  0.0430098   0.450904  0.0427984   0.0215459   0.054718    0.270165   0.449232   0.443503
    MACS_0451 0.772999 -1.59987 0.595487 0.797371  -0.202048   1.7838        nan        nan  0.0486019  0.0286746  0.0481852  0.00567128   0.048296 0.00567128        nan        nan  0.0429186  0.0261452  0.0433957  0.00564575  0.0441336  0.00564575        nan        nan
 COSMOS_12805  1.04734 -1.45256 0.808576 0.348416   0.459667  1.81081        nan        nan   0.138384  0.0075271   0.137496    0.017628   0.132926   0.017628        nan        nan   0.118357 0.00843942   0.115463   0.0198702    0.12341   0.0198702        nan        nan
        BX660  1.03386 -1.60044 0.816688 0.865166 -0.0510802  1.95962        nan        nan  0.0998934  0.0375694   0.109636   0.0286767  0.0981745   0.018291        nan        nan  0.0943144  0.0280873  0.0876442   0.0258795  0.0809589   0.0187886        nan        nan
         BX74  1.05861   -1.202 0.891192 0.801628  0.0899807  1.63695        nan        nan  0.0923597   0.256737  0.0935538   0.0482996  0.0971121   0.390207        nan        nan  0.0820007   0.390731  0.0814831   0.0475135  0.0878996    0.252781        nan        nan
        BX418 0.982466 -1.13352 0.806673 0.847145 -0.0429066  1.49879        nan        nan   0.099331   0.286071  0.0977991   0.0413668   0.103597   0.420569        nan        nan  0.0833273   0.429299  0.0825281   0.0394326  0.0895942     0.29155        nan        nan
    S16-stack 0.922798  -1.0147 0.622735 0.183356   0.439064  1.20139  -0.863105   -1.04732  0.0515257   0.138001  0.0526001   0.0205998  0.0576542   0.207063   0.103767   0.103315  0.0416274    0.22027  0.0415768   0.0210303  0.0470495    0.135716   0.156408   0.158253
  COSMOS-1908 0.989942      nan 0.844765  1.13896  -0.293728      nan -0.0739023   -1.21302  0.0157827        nan  0.0144928   0.0370117  0.0388243        nan  0.0572012  0.0382604  0.0147066        nan  0.0144657   0.0362951  0.0391833         nan  0.0542725  0.0439044
 the_Lynx_arc  1.01458      nan 0.876399  1.47846   -0.60206      nan   0.455242   -1.01683   0.017243        nan  0.0165809   0.0165809        0.0        nan   0.147079   0.141658  0.0152961        nan  0.0174874   0.0174874        0.0         nan   0.204615   0.215653
   SMACS_2031 0.840745      nan 0.680831 0.837887  -0.156343      nan  -0.302506   -1.14179  0.0160524        nan   0.015041   0.0455542  0.0409546        nan  0.0645551  0.0496698  0.0147341        nan  0.0149752   0.0407331  0.0467817         nan  0.0781887  0.0704298
    SGAS_1050  1.04982      nan 0.907306  1.00898  -0.101926      nan  -0.394122   -1.40135 0.00460245        nan 0.00441223   0.0105485  0.0106481        nan  0.0525272  0.0504128 0.00414585        nan 0.00417117   0.0100744  0.0113704         nan  0.0604617  0.0612695
