         Name 12+log(O/H) err_OH 12+log(N/O) err_NO      U  errU
------------- ----------- ------ ----------- ------ ------ -----
 COSMOS_12805       7.484  0.114       -10.0  -10.0 -1.929 0.001
   SMACS_0304       7.693  0.315       -10.0  -10.0 -2.119 0.142
         BX74         0.0    0.0       -10.0  -10.0    0.0   0.0
        BX418         8.2  0.022       -10.0  -10.0 -2.517 0.003
        BX660        8.08  0.023       -10.0  -10.0 -2.315 0.011
   Abell_22.3       8.141  0.033       -10.0  -10.0 -2.476 0.004
    SGAS_1050       7.982  0.205       -10.0  -10.0 -1.996 0.163
       CSWA20       8.132  0.053       -10.0  -10.0 -2.475 0.144
    MACS_0451       8.141  0.338       -1.18  -1.18 -2.308 0.235
Abell_860_359       8.022  0.045       -10.0  -10.0  -2.66 0.062
    S16-stack       8.106   0.12       -10.0  -10.0 -2.474 0.002
   A1689_31.1       7.838  0.092      -0.899 -0.899 -2.429 0.038
    USD-12539       8.744  0.156       -10.0  -10.0 -2.287 0.004
        RCSGA       7.895  1.148      -4.588 -4.588 -2.475  0.42
  COSMOS-1908       7.519  0.188      -1.012 -1.012 -2.213 0.028
