         Name 12+log(O/H) err_OH 12+log(N/O) err_NO      U  errU
------------- ----------- ------ ----------- ------ ------ -----
       CSWA20       7.497  0.103       -10.0  -10.0 -1.876 0.004
    USD-12539       7.658  0.248       -10.0  -10.0 -2.072 0.146
Abell_860_359         0.0    0.0       -10.0  -10.0    0.0   0.0
   Abell_22.3       7.976   1.15       -10.0  -10.0 -2.516 0.407
        RCSGA       7.359  2.179       -10.0  -10.0 -2.254 0.685
   A1689_31.1       5.415  3.891       -10.0  -10.0 -1.757 1.277
   SMACS_0304       7.953  0.195       -10.0  -10.0 -1.994 0.155
    MACS_0451       7.614  1.928       -10.0  -10.0 -2.322   0.6
 COSMOS_12805       8.075  0.345      -1.192 -1.192 -2.287 0.229
        BX660       8.014  0.115       -10.0  -10.0 -2.633 0.138
         BX74       8.164  0.159       -10.0  -10.0 -2.477 0.055
        BX418       7.761   0.27      -1.509 -1.509 -2.369 0.238
    S16-stack       8.592  0.306       -10.0  -10.0 -2.304 0.218
  COSMOS-1908       7.466  2.209      -6.301 -6.301 -2.352 0.718
    SGAS_1050       7.523  0.188      -1.016 -1.016  -2.22 0.033
