         Name            Te          upTe         lowTe           Den         upDen        lowDen              EBV            upEBV           lowEBV
------------- ------------- ------------- ------------- ------------- ------------- ------------- ---------------- ---------------- ----------------
        BX660 15268.4821966 15991.7660984 14485.2809523         100.0         100.0         100.0              0.0              0.0              0.0
    USD-12539 35525.9564299 38611.1064736 32516.2316554 928.742591951 3482.76874331 281.597588325              0.0              0.0              0.0
 COSMOS_12805 11954.3864839 15094.2116389 10136.9101412         100.0         100.0         100.0              0.0   0.340410300991  -0.258335523385
  COSMOS-1908 13587.8403868 15372.4220505 12043.5910131 659.638152211  1489.5389683 224.637342503  -0.125070757495   0.103361932325  -0.309145069979
    S16-stack 11992.7713117 12344.3662619 11633.9725064 483.238344352 645.168982583 360.215490206   0.246622046854   0.268178297374   0.225208129019
   SMACS_0304 11025.0906548 11432.2884104 10623.8527453 1013.78369771 6423.22539742 281.888516435    0.16662458225   0.177248241728   0.154781246315
        BX418 13823.9818295  14670.850997 12754.5146115         100.0         100.0         100.0              0.0              0.0              0.0
   A1689_31.1 20974.8726016 24923.2469524 16971.3514807 244.137162806 448.085823838 91.8973628555   0.274795543072     0.5611050442 -0.0126683027089
        RCSGA 11912.8800756 12863.2044988 11020.1790465         100.0         100.0         100.0   0.238777692669   0.386654585408    0.10922592904
   Abell_22.3 25447.5554844 29956.9815815  21184.617495         100.0         100.0         100.0              0.0   0.632216894339              0.0
Abell_860_359 12775.7306653  13917.588109 11683.2673918         100.0         100.0         100.0  0.0577107160913  0.0850663628204  0.0193656012667
         BX74 12671.3178116 13132.3029029 12281.3202573         100.0         100.0         100.0              0.0              0.0              0.0
    SGAS_1050 9523.99997929 9976.10009322  9127.9377215 606.130183117 1243.05317744 261.965702996  -0.209427968683  -0.123482739256  -0.287319640137
    MACS_0451 18330.0092141 21869.1783165 15617.1799543         100.0         100.0         100.0 -0.0613582846829  0.0686629108519  -0.187723205249
       CSWA20 11521.7647728 13626.9152927 9269.95807047 394.388635592 537.134730489 278.367096461  -0.113493605848 -0.0256976621758  -0.200326744876
