         Name              E(B-V)              eE(B-V)             OIII1661             OIII1666             NIII1750            CIII1907            CIII1909           NeIII3869             OII3727            OII3729             OIITot                 Hd                 Hg            OIII4363                 Hb           OIII4959           OIII5007                 Ha             NII6584           eOIII1661           eOIII1666 eNIII1750           eCIII1907           eCIII1909          eNeIII3869            eOII3727            eOII3729             eOIITot                 eHd                 eHg           eOIII4363                 eHb           eOIII4959           eOIII5007                 eHa            eNII6584
------------- ------------------- -------------------- -------------------- -------------------- -------------------- ------------------- ------------------- ------------------- ------------------- ------------------ ------------------ ------------------ ------------------ ------------------- ------------------ ------------------ ------------------ ------------------ ------------------- ------------------- ------------------- --------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- -------------------
       CSWA20                 0.0  0.13247200022161826  0.10801148949368285   0.2699067465793643                  nan 0.33799373982063846 0.31018769557612796   0.736208932118781  0.9484312431248809 1.0491374537682203 0.9482588524443528                nan 1.0681617592671107 0.09340146494185268  1.749616644484641 2.8883931010953807  8.549336705827779  5.019639285718948 0.09058351952788013  0.9408383190742072   0.427109216382678       nan 0.23372600153740655 0.23613747604342056 0.21908331321341865 0.21729033618839477 0.22055896709344225  0.4654672057178893                 nan  0.2262188816802079  0.6233896989799431 0.21557367633103847 0.21169508502258905  0.2108349431901003 0.19798290283589634  0.3798414923789691
Abell_860_359                 0.0  0.04078439086020389  0.04422338133454339  0.12230455290232245  0.04399947612101006                 nan                 nan                 nan                 nan                nan 1.5321118676085181                nan                nan                 nan  1.211251385137438 2.4488264916205567  7.368459112801188 3.4174131322437806                 nan                 nan  0.3304222588099122       nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 0.08256703698318373 0.07785007222987557 0.07784815546059799 0.06871448949235158                 nan
   Abell_22.3                 0.0  0.27042353174449435                  nan                  nan                  nan                 nan                 nan                 nan                 nan                nan 4.8647766053831845                nan                nan   1.010293867918788 3.2638648485049924  6.308613821665849  20.31812119562818 12.087348456963715 0.11978176045019676                 nan                 nan       nan                 nan                 nan                 nan                 nan                 nan  0.4010948307283845                 nan                 nan 0.47643196441891617 0.32849973786176295 0.34744937419076133 0.31749842333843176 0.32351891187069853                 nan
        RCSGA 0.09158415054219551  0.25527902959685295                  nan                  nan                  nan                 nan                 nan   28.35427021373409                 nan                nan  269.0056063680285 24.456874591106168  43.73875091952345   4.830655730192015   92.1905879379414 137.26311483221824 438.17478236526136 250.75772223975062  15.952773693759084                 nan                 nan       nan                 nan                 nan 0.34034529613950165                 nan                 nan  0.3028169678718737 0.37755305946562595 0.33568187551207535                 nan 0.30813361609054657  0.3079400765931382  0.3064589520438399  0.3002575028858883  0.3385004444409592
   A1689_31.1 0.21324389418526762   0.2964369659930406    27.67013130795074   63.931661310662975                  nan  45.125198793972736   87.61043373585221  29.667520648575312  43.934158091023605  55.85155787055294  99.76902217902192                nan  69.17693804447265  25.053984207882653  149.3503615925536 214.81278824882207   712.530480273644                nan                 nan 0.30112270389330514 0.28134025778673644       nan  0.2812946303775021  0.2729113537328961  0.4939249104606339  0.3242755116076593 0.32188443760390933 0.32291128281458514                 nan 0.34275180218330753 0.42883951624407823   0.345252232340228  0.3665207144364004  0.3284498070931226                 nan                 nan
   SMACS_0304 0.20798736876763335  0.21814114560074005  0.06343743433231225  0.10415885309175886                  nan                 nan                 nan  0.8852958529787464  2.6397367429530103 3.5396166500253523  6.329355385774217 0.7276431784992015 1.1103073512272497                 nan  2.422423334413502  3.185932773703164  11.12146102864523 6.9484764140060165  0.2231309000142321 0.33999741155840313 0.31841039663885295       nan                 nan                 nan  12.521026568021837   3.842106841707224  3.2891344525815827  0.2828994338681158 0.28387605231868773  0.2833496563728977                 nan  0.2821087100543067  0.2817360590586997  0.2815236596848161  0.2721432284813631  0.2753334795481129
    MACS_0451                 0.0 0.015485157796039177   0.2535556815748747   0.3799441120565891  0.12460496371881823                 nan                 nan                 nan                 nan                nan 0.6722196808704339                nan                nan                 nan  1.042915696553581 1.4269619383444279  4.111756827567228 2.6504385259113556 0.06676654037673974                 0.1                 0.1       nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 0.1                0.05                0.05                0.16                 nan
 COSMOS_12805 0.29310244509473643   0.1362016833517219 0.053528224547632404   0.0818993926312767  0.04558991599687093                 nan                 nan                 nan                 nan                nan  2.970345216074836                nan                nan                 nan 1.0157256286941314 1.9188169504821613 6.5570456802406945 2.8686841813356625 0.10100549433025592               0.012               0.015       nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 0.3                0.42                0.29                0.05                 nan
        BX660                 0.0  0.08733699424703631                  0.0  0.23398566416107966                  nan                 nan                 nan                 nan                 nan                nan 0.8959763564797614                nan                nan                 nan 1.0193525869430091  3.260043533798228  6.518318714857107 2.8044319240603808 0.07086623486942037                 0.0                0.04       nan                 nan                 nan                 nan                 nan                 nan                0.04                 nan                 nan                 nan                 0.2                 0.8                 0.3                 0.2                 nan
