         Name             E(B-V)          eE(B-V)            Te           eTe           Den          eDen        OIII1661        OIII1666        NIII1750       CIII1907       CIII1909      NeIII3869        OII3727        OII3729        OIITot             Hd             Hg       OIII4363            Hb      OIII4959      OIII5007            Ha        NII6584      eOIII1661      eOIII1666 eCIII1907      eCIII1909      eNIII1750     eNeIII3869        eOII3727       eOII3729        eOIITot            eHd            eHg      eOIII4363             eHb       eOIII4959       eOIII5007             eHa       eNII6584
------------- ------------------ ---------------- ------------- ------------- ------------- ------------- --------------- --------------- --------------- -------------- -------------- -------------- -------------- -------------- ------------- -------------- -------------- -------------- ------------- ------------- ------------- ------------- -------------- -------------- -------------- --------- -------------- -------------- -------------- --------------- -------------- -------------- -------------- -------------- -------------- --------------- --------------- --------------- --------------- --------------
 COSMOS_12805                0.0              0.0 15242.3962166 804.004163223         100.0           0.0 0.0655818007392  0.100372833558 0.0562481340282            nan            nan            nan            nan            nan  3.6034583068            nan            nan            nan 1.19075633786 2.24261442819 7.65247744056 3.23336306172 0.113798990039 0.369231961029 0.341091497428       nan            nan            nan            nan             nan            nan            nan            nan            nan            nan  0.376041642121   0.31611772511  0.228373138527  0.200644613941            nan
   SMACS_0304 -0.000309249430492 0.00690810899736 35596.5481004 3154.46543601 2295.46352883  4299.5279072 0.0434557793741 0.0713709841386             nan            nan            nan 0.686692057659  2.03668954236  2.73118090841 4.88375332736 0.570311602103 0.880675220162            nan 1.97082766629 2.60305452243 9.10503541187 5.96633490734 0.191695745397 0.249627842168 0.215967576553       nan            nan            nan  12.6757580285   3.88515070988  3.32329881098 0.128047870613 0.128520502059 0.126573138504            nan  0.124383181897  0.123987462096  0.123755324535  0.116966892335 0.124560058765
         BX74    0.0414432381063   0.350616013138 12654.3853717 3108.38599467         100.0           0.0             0.0            0.12             nan            nan            nan            nan            nan            nan          1.01            nan            nan            nan           1.0          2.47           7.9          3.46           0.12            0.0           0.01       nan            nan            nan            nan             nan            nan           0.04            nan            nan            nan             nan            1.52             1.0            0.25           0.03
        BX418   -0.0987818491649   0.227384395205   13678.16068  1786.4150562  889.72248135  859.98655853             0.0            0.14             nan            nan            nan            nan            nan            nan           0.9            nan            nan            nan           1.0           2.3           6.4          2.81           0.15            0.0           0.04       nan            nan            nan            nan             nan            nan           0.03            nan            nan            nan             nan             0.7             0.3             0.2           0.03
        BX660     0.246977313404  0.0212982268356 11991.6341279 346.592605591 503.417065293 149.900662281             0.0            0.21             nan            nan            nan            nan            nan            nan          0.87            nan            nan            nan           1.0           3.2           6.4          2.77           0.07            0.0           0.04       nan            nan            nan            nan             nan            nan           0.04            nan            nan            nan             nan             0.8             0.3             0.2            nan
   Abell_22.3     0.161048890088  0.0449303220188 10943.8808812 721.580893445 3560.06543152 6935.54626445             nan             nan             nan            nan            nan            nan            nan            nan 4.46823067528            nan            nan 0.939907399941 3.06333883308 5.92992074299 19.1119782672 11.5560411447 0.114536323566            nan            nan       nan            nan            nan            nan             nan            nan 0.422938292593            nan            nan 0.496775886817  0.348990251143  0.367420519054  0.338089838554   0.34216660997            nan
    SGAS_1050                0.0              0.0 13755.8064614 973.152828789         100.0           0.0           0.018           0.051           0.014 0.199649737303 0.120840630473 0.320490367776 0.395796847636 0.388791593695          0.79            nan           0.52          0.014           1.0          2.35          8.08           nan            nan          0.007          0.007     0.005           0.07           0.08           0.04            0.06           0.06           0.02            nan           0.02            nan            0.01            0.02            0.02             nan            nan
       CSWA20     0.267887977365   0.312308852977 20931.8392065 3953.49694382 270.791111014 182.949769047            0.04             0.1             nan           0.12           0.11           0.37           0.47           0.52          0.47            nan           0.57           0.05           1.0          1.67          4.97          3.32           0.06           0.04           0.04       nan           0.01           0.01           0.02            0.02           0.03            0.2            nan           0.05           0.03            0.07             0.1            0.29             0.2           0.02
    MACS_0451     0.253658565165   0.145983478065 11949.2715319 958.100099554         100.0           0.0             0.2             0.3             0.1            nan            nan            nan            nan            nan          0.63            nan            nan            nan           1.0          1.37          3.95          2.58          0.065            0.1            0.1       nan            nan            nan            nan             nan            nan            nan            nan            nan            nan             0.1            0.05            0.05            0.16            nan
