         Name             E(B-V)          eE(B-V)            Te           eTe           Den          eDen         OIII1661        OIII1666         NIII1750        CIII1907        CIII1909      NeIII3869        OII3727        OII3729         OIITot             Hd             Hg         OIII4363             Hb      OIII4959      OIII5007            Ha         NII6584        eOIII1661         eOIII1666        eCIII1907       eCIII1909       eNIII1750        eNeIII3869       eOII3727          eOII3729           eOIITot             eHd             eHg        eOIII4363            eHb      eOIII4959         eOIII5007               eHa          eNII6584
------------- ------------------ ---------------- ------------- ------------- ------------- ------------- ---------------- --------------- ---------------- --------------- --------------- -------------- -------------- -------------- -------------- -------------- -------------- ---------------- -------------- ------------- ------------- ------------- --------------- ---------------- ----------------- ---------------- --------------- --------------- ----------------- -------------- ----------------- ----------------- --------------- --------------- ---------------- -------------- -------------- ----------------- ----------------- -----------------
 COSMOS_12805                0.0              0.0 15242.3962166 804.004163223         100.0           0.0    61199.4994093   93189.4224351    54785.7490535             nan             nan            nan            nan            nan   20821.211072            nan            nan              nan  377.633581268 560.339748795 1708.53679821 53.4703879605   1.82972726998    1366692.55956     2081082.38525    1223469.40632             nan             nan               nan            nan               nan     463465.533367             nan             nan              nan  8285.46213172  12259.3152101     37323.6126851     1041.66353681     35.5363716016
   SMACS_0304 -0.000309249430492 0.00690810899736 35596.5481004 3154.46543601 2295.46352883  4299.5279072  0.0451128795412 0.0740915943123              nan             nan             nan 0.703483619609  2.08782256386  2.79972713667  5.00632406932 0.583500175484 0.899682390438              nan  2.00698022929 2.64942323981  9.2649559462 6.03767215108  0.193976210178 0.00645739811622   0.0106039574973              nan             nan             nan    0.085224639758 0.255510726934    0.342591161588    0.612603405428 0.0691764704916  0.103813506658              nan  0.21695361186 0.282976286316      0.9838335233    0.542950908602    0.017403760594
         BX74    0.0414432381063   0.350616013138 12654.3853717 3108.38599467         100.0           0.0              0.0            0.12              nan             nan             nan            nan            nan            nan           1.01            nan            nan              nan            1.0          2.47           7.9          3.46            0.12              0.0 2.77555756156e-17              nan             nan             nan               nan            nan               nan               0.0             nan             nan              nan            0.0            0.0  1.7763568394e-15  4.4408920985e-16 2.77555756156e-17
        BX418   -0.0987818491649   0.227384395205   13678.16068  1786.4150562  889.72248135  859.98655853              0.0            0.14              nan             nan             nan            nan            nan            nan            0.9            nan            nan              nan            1.0           2.3           6.4          2.81            0.15              0.0 5.55111512313e-17              nan             nan             nan               nan            nan               nan 2.22044604925e-16             nan             nan              nan            0.0            0.0               0.0               0.0 2.77555756156e-17
        BX660     0.246977313404  0.0212982268356 11991.6341279 346.592605591 503.417065293 149.900662281              0.0            0.21              nan             nan             nan            nan            nan            nan           0.87            nan            nan              nan            1.0           3.2           6.4          2.77            0.07              0.0               0.0              nan             nan             nan               nan            nan               nan 2.22044604925e-16             nan             nan              nan            0.0            0.0               0.0   8.881784197e-16 2.77555756156e-17
   Abell_22.3     0.161048890088  0.0449303220188 10943.8808812 721.580893445 3560.06543152 6935.54626445              nan             nan              nan             nan             nan            nan            nan            nan  15.4239324318            nan            nan    2.64043035597  7.24673457937 13.6223526358 43.3046253648 19.3300944417  0.190979386317              nan               nan              nan             nan             nan               nan            nan               nan     22.4625978713             nan             nan    3.46559879139  8.64487191393  15.9675040493     50.3351736101     17.9094663421    0.176411748004
    SGAS_1050                0.0              0.0 13755.8064614 973.152828789         100.0           0.0 0.00512751974929 0.0145320614607 0.00397865995185 0.0533330460129  0.032231936769 0.124070808218 0.150779717472 0.148141145578 0.301013465579            nan 0.216521128971 0.00585256808927 0.454276386933 1.08350809124 3.75170396279           nan             nan 0.00309438704663  0.00876727198533 0.00240710640663 0.0344346294696 0.0208432240575   0.0526062187269 0.065235151481     0.06407730978    0.130201052562             nan 0.0835097180498 0.00224530089083 0.155196925889 0.362221629293     1.24124495486               nan               nan
       CSWA20     0.267887977365   0.312308852977 20931.8392065 3953.49694382 270.791111014 182.949769047   0.022049592171 0.0551290115814              nan  0.064829462948 0.0593999529504 0.228495625541 0.288341664934 0.319042784754 0.288365593913            nan 0.362983970474  0.0318951129844 0.661712546815   1.112494546 3.32142703287 2.40498327695 0.0435059381297  0.0176547875587   0.0441260906698              nan 0.0560329394852 0.0514315032122    0.123806466192 0.159699035436    0.176654210161    0.159668228414             nan  0.177552075293  0.0155124718947 0.284311886637 0.467106444796     1.37928719492    0.744558582002   0.0134180305233
    MACS_0451     0.253658565165   0.145983478065 11949.2715319 958.100099554         100.0           0.0   0.195626959747  0.293410073492  0.0978987272307             nan             nan            nan            nan            nan 0.570508142459            nan            nan              nan 0.888072972568 1.21571296768 3.50402518608 2.29073448733 0.0577184415249   0.208614365989    0.312798075008    0.10465342102             nan             nan               nan            nan               nan    0.437186819367             nan             nan              nan 0.535753540955 0.717376814383     2.04589007379     1.00479700726   0.0252230365501
Abell_860_359     0.265744203863   0.305906060742 25605.5504043 5708.20129005         100.0           0.0  0.0455597391137   0.12603423096  0.0456034225946             nan             nan            nan            nan            nan  1.62932265961            nan            nan              nan  1.27548456145 2.57602142389 7.74739875431 3.55148544544             nan  0.0110527005718   0.0305677215355  0.0110873914271             nan             nan               nan            nan               nan    0.293581368202             nan             nan              nan 0.184519137776 0.365111071277     1.08734063772    0.381400433104               nan
    S16-stack    0.0544593591179  0.0327246378993 12751.1188042 1167.58288866         100.0           0.0  0.0516977655548  0.143540403778              nan  0.512602276798  0.353463442359  1.10084122344  3.84340619465  4.06424314078  7.89368231858            nan            nan   0.192235379936  2.84224940663 4.06282128795 12.0396528612 7.83903536901   0.75794618233 0.00752630966071   0.0208916618058              nan 0.0790390881855 0.0545731694444    0.117140949773 0.416595280322    0.440430334204    0.855415638593             nan             nan  0.0186549464409 0.247509794828 0.346652507691     1.01724911316     0.50709328801   0.0488580503452
