         Name                 Te               upTe              lowTe                Den              upDen             lowDen                 EBV               upEBV               lowEBV
------------- ------------------ ------------------ ------------------ ------------------ ------------------ ------------------ ------------------- ------------------- --------------------
 the_Lynx_arc 17412.871390802426  17798.34739989587 17013.263696502385 16014.686094766988  36695.91282596932  5976.633149166699                 0.0                 0.0                  0.0
        BX660 16261.978585089802  19022.57127477107 15226.343608809093              100.0              100.0              100.0                 0.0 0.22460643177573353                  0.0
 COSMOS_12805 12490.373606794748  15101.36668200391 11772.600361458104              100.0              100.0              100.0                 0.0 0.32689120594709736                  0.0
  COSMOS-1908 14526.003427804008  16504.73635781346 12852.496502677473  691.2590365114932 1515.5060448254876 276.99187133968223  0.0883908253860116  0.3517912088360613                  0.0
    S16-stack 11973.933953263022 12334.969928074639 11649.858106563783  483.9683105245163  637.5738716721836 359.26573093381404  0.2494405373110291  0.2696388630014064  0.22720631477477587
   SMACS_0304 11513.496269089706 11874.116270529887  11083.65221194541  836.2227364360318  4718.405561478714 204.66087993225472 0.21165693079869943 0.24462708922707047   0.2038407221583348
        BX418 14607.041450757668 16824.991635221995 13500.331029330244              100.0              100.0              100.0                 0.0  0.2384151783956076                  0.0
   A1689_31.1  20675.86718077882 25194.521289779044 16636.420989899732 238.84782133044254  442.0332293766384  85.31678524172806  0.3191598046811637  0.6082164212085952                  0.0
   SMACS_2031 16732.722470712815  17109.28201155932 16326.314051588282  518.7940185261397   888.935790893334 297.06659687573125                 0.0                 0.0                  0.0
        RCSGA 11951.428217992408  12172.23047413551 11737.494780349738              100.0              100.0              100.0 0.25884909161737624  0.3441691291009429  0.18280792811104848
   Abell_22.3 25676.943100388307 30075.499010548687 21324.387204477767              100.0              100.0              100.0                 0.0  0.6254069356592882                  0.0
Abell_860_359 12961.610898222985 13848.814690040646 11783.255046241156              100.0              100.0              100.0 0.04612352801282269 0.07973083534679686  0.01017344605656967
         BX74 14393.466395771113 19272.470807181195 12815.642227155106              100.0              100.0              100.0 0.16750672742744144  0.5407211367468335                  0.0
    SGAS_1050 10719.761535396932 10970.547737860223 10441.784917706482  596.1417564402018 1171.9916436370206  247.6565053681485                 0.0                 0.0                  0.0
    MACS_0451 21601.421717122917  24070.39003658232  19347.40524056219              100.0              100.0              100.0                 0.0 0.03617804290512324                  0.0
       CSWA20 12128.616590771853 14358.353161105062   9386.66026061918   402.209965728364  547.7869341174695  277.8959947531268 0.15409604508578278 0.23924515326589466 0.062232418647490254
