         Name           E(B-V)          eE(B-V)        OIII1661        OIII1666        NIII1750       CIII1907       CIII1909      NeIII3869        OII3727        OII3729        OIITot            Hd             Hg       OIII4363            Hb      OIII4959      OIII5007            Ha        NII6584      eOIII1661      eOIII1666 eNIII1750      eCIII1907      eCIII1909     eNeIII3869       eOII3727       eOII3729        eOIITot            eHd            eHg      eOIII4363             eHb       eOIII4959       eOIII5007             eHa       eNII6584
------------- ---------------- ---------------- --------------- --------------- --------------- -------------- -------------- -------------- -------------- -------------- ------------- ------------- -------------- -------------- ------------- ------------- ------------- ------------- -------------- -------------- -------------- --------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------- --------------- --------------- --------------- --------------
       CSWA20 -0.0115772969717  -0.108153772451            0.04             0.1             nan           0.12           0.11           0.37           0.47           0.52          0.47           nan           0.57           0.05           1.0          1.67          4.97          3.32           0.06           0.04           0.04       nan           0.01           0.01           0.02           0.02           0.03            0.2            nan           0.05           0.03            0.07             0.1            0.29             0.2           0.02
    USD-12539              0.0              0.0             nan             nan             nan            nan            nan    3.29065e-17    7.35208e-17    8.08939e-17  1.544147e-16           nan     2.9366e-17    3.95775e-17   1.20361e-16           nan   5.72444e-16   4.07651e-16    1.79054e-17            nan            nan       nan            nan            nan    6.27673e-18    2.50988e-17    2.89959e-17    5.40947e-17            nan    2.29637e-18    3.30824e-18     3.69689e-18             nan      3.2338e-18     1.32121e-18    1.34166e-18
Abell_860_359  0.0298832077515  0.0501135303429 0.0433328367186  0.119876254353 0.0433670341057            nan            nan            nan            nan            nan 1.57823737445           nan            nan            nan 1.24639072556 2.51895239558  7.5781449423 3.49805931074            nan            nan 0.367197768332       nan            nan            nan            nan            nan            nan            nan            nan            nan            nan 0.0987707062484 0.0945198258472 0.0944240028217 0.0840531901355            nan
   Abell_22.3 -0.0953652097004   0.317658930585             nan             nan             nan            nan            nan            nan            nan            nan          1.11           nan            nan           0.27           1.0          1.98          6.45          5.03           0.05            nan            nan       nan            nan            nan            nan            nan            nan            0.3            nan            nan            0.1             0.1             0.3             0.3             0.4            nan
        RCSGA   0.247280710803   0.251026588043             nan             nan             nan            nan            nan  27.3399602894            nan            nan 258.243874691 23.7219822706  42.6204878584  4.70896287308 90.4593959674 134.820901578 430.580095519 248.751934261  15.8262270695            nan            nan       nan            nan            nan 0.342931075226            nan            nan 0.298996289988 0.384659104667 0.336688257159            nan  0.305724919038  0.305612725647  0.304013801163  0.299012818124 0.339887294736
   A1689_31.1   0.167391189014   0.296256738425   25.3829443649   58.6670153215             nan  42.1108028498  81.7688725728  29.1240735413  43.0614953066  54.7434751519 97.7896265535           nan   68.178819511  24.6962807596  147.61936625   212.4148227 704.718842682           nan            nan 0.304912361271 0.281089386132       nan 0.282394723015 0.272621063217 0.501233688224 0.324425674414 0.321900602367 0.322984499533            nan 0.343305960066 0.432529153369  0.345640262715  0.367563677487  0.328236292941             nan            nan
   SMACS_0304 -0.0234885752537   0.169540315232 0.0454380750999 0.0746258203669             nan            nan            nan   0.7094740515  2.10553630232    2.823482071 5.04880138718 0.58849822224 0.907420039937            nan 2.02419462981 2.67210010255 9.34416314271 6.08595970771 0.195525614701 0.327745377505 0.302897994492       nan            nan            nan  12.6775509291  3.89100906755  3.33014554439 0.248898808626 0.248434528493 0.246643066283            nan  0.243037095315  0.242300391683    0.2419165493  0.229353557802 0.233179635877
    MACS_0451   0.294450787669 -0.0688195392807             0.2             0.3             0.1            nan            nan            nan            nan            nan          0.63           nan            nan            nan           1.0          1.37          3.95          2.58          0.065            0.1            0.1       nan            nan            nan            nan            nan            nan            nan            nan            nan            nan             0.1            0.05            0.05            0.16            nan
 COSMOS_12805   0.243724506639  0.0747788766151 0.0604607506973 0.0925369971004 0.0518468727659            nan            nan            nan            nan            nan 3.39164036002           nan            nan            nan  1.1341568745 2.13811784752 7.29929356416  3.1184606685 0.109768911769 0.269652382998  0.22964064803       nan            nan            nan            nan            nan            nan            nan            nan            nan            nan  0.313528836549  0.239867119887  0.100494291963 0.0817304579985            nan
        BX660              0.0 0.00189509394299             0.0            0.21             nan            nan            nan            nan            nan            nan          0.87           nan            nan            nan           1.0           3.2           6.4          2.77           0.07            0.0           0.04       nan            nan            nan            nan            nan            nan           0.04            nan            nan            nan             0.2             0.8             0.3             0.2            nan
         BX74  0.0522826224979   0.226293509799             0.0  0.481367734886             nan            nan            nan            nan            nan            nan 2.84418772689           nan            nan            nan 2.29854398187  5.5828468149 17.7148705886 6.42146605991 0.222226973384            nan 0.292077858083       nan            nan            nan            nan            nan            nan 0.291146807232            nan            nan            nan  0.414654351366  0.678485622656  0.312277392263  0.283936784077 0.371211559319
        BX418   0.197562673891 -0.0146613958719             0.0            0.14             nan            nan            nan            nan            nan            nan           0.9           nan            nan            nan           1.0           2.3           6.4          2.81           0.15            0.0           0.04       nan            nan            nan            nan            nan            nan           0.03            nan            nan            nan             0.2             0.7             0.3             0.2           0.03
    S16-stack  -0.210602974149   0.246745570708 0.0512335909552  0.142252319022             nan 0.507397799329 0.349864592552   1.0958637529   3.8252974487  4.04510376786  7.8565093138           nan            nan 0.191529027367  2.8340986493 4.05170817331 12.0074612412  7.8279821766 0.756886744844 0.431850825135 0.299663572634       nan 0.278597748985 0.289358200201 0.338356917143 0.299632066016 0.300733208657 0.296392937915            nan            nan            nan  0.301820764659  0.301564404298  0.301311045687  0.296823765647 0.302106908249
  COSMOS-1908 -0.0764649960685 -0.0675450911763             nan             nan             nan            nan            nan           1.84           1.09           1.09          2.18          1.49           2.21           0.56          4.72          10.8          33.3           nan            nan            nan            nan       nan            nan            nan           0.21           0.19           0.18           0.37           0.32           0.34           0.14            0.25            0.28             0.7             nan            nan
    SGAS_1050   -0.11249487137  -0.198604859742           0.018           0.051           0.014 0.199649737303 0.120840630473 0.320490367776 0.395796847636 0.388791593695          0.79           nan           0.52          0.014           1.0          2.35          8.08           nan            nan          0.007          0.007     0.005           0.07           0.08           0.04           0.06           0.06           0.02            nan           0.02            nan            0.01            0.02            0.02             nan            nan
