         Name              E(B-V)             eE(B-V)             OIII1661             OIII1666             NIII1750            CIII1907            CIII1909           NeIII3869             OII3727            OII3729             OIITot                 Hd                 Hg            OIII4363                 Hb           OIII4959           OIII5007                 Ha              NII6584          eOIII1661           eOIII1666 eNIII1750           eCIII1907           eCIII1909          eNeIII3869            eOII3727            eOII3729             eOIITot                 eHd                 eHg           eOIII4363                 eHb           eOIII4959           eOIII5007                 eHa            eNII6584
------------- ------------------- ------------------- -------------------- -------------------- -------------------- ------------------- ------------------- ------------------- ------------------- ------------------ ------------------ ------------------ ------------------ ------------------- ------------------ ------------------ ------------------ ------------------ -------------------- ------------------ ------------------- --------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- -------------------
       CSWA20                 0.0 0.15073878595669246  0.12925940480657472    0.322987722636284                  nan  0.4087789051410635  0.3752432289659644    0.83958920431024  1.0842566240772655   1.19934796255059 1.0840260430745716                nan 1.2048819905613968 0.10529419627851236 1.9483118052772053  3.209439156889955  9.489856690389303  5.437283733590532  0.09809273790163626 0.9444315957891904 0.43497005486797946       nan   0.246669851647619 0.24892912367846146 0.23845239936831164 0.23664066187844457 0.23964763010661044   0.474809907488469                 nan 0.24563377755873902  0.6307052858069686 0.23633810328484886  0.2328523801690637 0.23208907299526593  0.2200780510159207 0.39180330906741506
Abell_860_359                 0.0 0.04495214070168326  0.04578541145747345  0.12662339368955366 0.045556990045547904                 nan                 nan                 nan                 nan                nan 1.5722555964800553                nan                nan                 nan 1.2366989032426385 2.4992257458236327  7.518617926766599 3.4706155564657135                  nan                nan  0.3329833417707223       nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 0.08977711502868713 0.08535461959226874  0.0853029305356734 0.07561070262609666                 nan
   Abell_22.3                 0.0  0.3127034678296441                  nan                  nan                  nan                 nan                 nan                 nan                 nan                nan  1.143386404933023                nan                nan 0.27617139052412903  1.019055976215585  2.016514800559716 6.5670944340092285  5.090038601956203 0.050593999977741035                nan                 nan       nan                 nan                 nan                 nan                 nan                 nan                 0.3                 nan                 nan                 0.1                 0.1                 0.3                 0.3                 0.4                 nan
        RCSGA  0.0883908253860116  0.2634885286059957                  nan                  nan                  nan                 nan                 nan  31.947683385863144                 nan                nan  303.7617197196174 27.431023512640564 48.793989352285216   5.386081167721878 101.65027500536766 151.04966085209904  481.7354705430436  269.6333973474641   17.149242726400946                nan                 nan       nan                 nan                 nan  0.3411822836455006                 nan                 nan  0.3034212640652221  0.3788764582568959 0.33793520815715744                 nan  0.3124026782915138  0.3125151519236991 0.31119922786254345 0.30829996618826505  0.3456826336832816
   A1689_31.1  0.2494405373110291  0.3041082106042976    33.23553888122253    76.78690507273028                  nan  54.788868259171366  106.39953616995454    33.9247930690715    50.3640303574497   64.0235517101787 114.36685732843885                nan  78.22425568828838   28.31358733224521 166.67857857201602  239.2057407718716  792.6111177865279                nan                  nan 0.2919459441936742 0.27149917792800793       nan  0.2707300384284668  0.2619936483583824  0.4916055079070558  0.3203941243966348 0.31797811385233204 0.31901753288254026                 nan  0.3409287120736444 0.42745294210993734 0.34539821371787643  0.3669824850486208  0.3291372088784589                 nan                 nan
   SMACS_0304 0.21165693079869943 0.22423390569270263  0.06509598286351745  0.10688134359133124                  nan                 nan                 nan  0.9021725001248648  2.6910029682894114  3.608343381936809  6.452248894812073 0.7409796626832571 1.1296932630763632                 nan  2.460162113869704  3.234557019061299 11.289533767975922  7.028745693910821  0.22569942495457365 0.3421007330876384  0.3206563872497326       nan                 nan                 nan  12.521111282458945  3.8423787541148093  3.2894521370520593  0.2865693711479161 0.28769877653873155 0.28730276093130297                 nan 0.28631160577861525  0.2859777461759178 0.28578356864053384 0.27674706042299524 0.27988479488378637
    MACS_0451                 0.0 0.01808902145256162   0.2535556815748747   0.3799441120565891  0.12460496371881823                 nan                 nan                 nan                 nan                nan 0.6722196808704339                nan                nan                 nan  1.042915696553581 1.4269619383444279  4.111756827567228 2.6504385259113556  0.06676654037673974                0.1                 0.1       nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 0.1                0.05                0.05                0.16                 nan
 COSMOS_12805  0.3191598046811637 0.16344560297354868 0.053528224547632404   0.0818993926312767  0.04558991599687093                 nan                 nan                 nan                 nan                nan  2.970345216074836                nan                nan                 nan 1.0157256286941314 1.9188169504821613 6.5570456802406945 2.8686841813356625  0.10100549433025592              0.012               0.015       nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 0.3                0.42                0.29                0.05                 nan
        BX660                 0.0 0.11230321588786676                  0.0  0.23398566416107966                  nan                 nan                 nan                 nan                 nan                nan 0.8959763564797614                nan                nan                 nan 1.0193525869430091  3.260043533798228  6.518318714857107 2.8044319240603808  0.07086623486942037                0.0                0.04       nan                 nan                 nan                 nan                 nan                 nan                0.04                 nan                 nan                 nan                 0.2                 0.8                 0.3                 0.2                 nan
         BX74 0.25884909161737624 0.27036056837341677                  0.0  0.42231757275687914                  nan                 nan                 nan                 nan                 nan                nan 2.4834087115008585                nan                nan                 nan 2.0542540268067153  5.000119179733691 15.881799159481085  5.898885885430897   0.2042011929821383                nan 0.32245095376462873       nan                 nan                 nan                 nan                 nan                 nan 0.31647393410241703                 nan                 nan                 nan 0.42623417328787405  0.6797047101170381  0.3300529414256094 0.29839139741635157  0.3809694281622261
        BX418                 0.0  0.1192075891978038                  0.0  0.15519169365803662                  nan                 nan                 nan                 nan                 nan                nan 0.9253162950332232                nan                nan                 nan 1.0183538227335995 2.3409474950843507  6.512287138920972  2.843326627234709  0.15177115495302004                0.0                0.04       nan                 nan                 nan                 nan                 nan                 nan                0.03                 nan                 nan                 nan                 0.2                 0.7                 0.3                 0.2                0.03
    S16-stack 0.04612352801282269 0.24842258888809113  0.05201779378144135  0.14442913223284082                  nan  0.5156247614051956  0.3555448187716743  1.1081118227551852  3.8688504188660664  4.091148650626012  7.945938923298823                nan                nan 0.19348059921147903 2.8600030472495677  4.087991169080174 12.113936466640007  7.881081201563455   0.7620028035680128 0.4318752213548822 0.29969922429868173       nan 0.27851835418076487 0.28927921634462306  0.3389237576905452  0.3002384577253916 0.30133780689680567 0.29700637151850473                 nan                 nan                 nan 0.30277955645503735  0.3025523354901281 0.30231307264269797  0.2981187439875875 0.30338179310405605
  COSMOS-1908 0.16750672742744144 0.17589560441803065                  nan                  nan                  nan                 nan                 nan   2.927404751461682  1.7498718831238096 1.7496700972301011 3.4993401944602023  2.327851882381497  3.380138131217785  0.8547018615970082  6.896102526570788 15.658144227157452  48.10383498747008                nan                  nan                nan                 nan       nan                 nan                 nan 0.25208989814493143   0.284704674563719 0.27928224281484526   0.281964728744198 0.30824460529055087 0.26763339243298295 0.33122893930704683  0.2188654189921307 0.21265126710996793 0.21146301725814526                 nan                 nan
 the_Lynx_arc                 0.0                 0.0  0.18952153605111863  0.40000125047811214   0.1887252031194333 0.36464113611215176 0.25002138162843457  0.6987974588213832                 nan                nan 0.2533701300555075                nan                nan                 nan 1.0091671694504867 2.6030049508748303  7.565990525844133                nan                  nan               0.02                0.02      0.02                 0.1                 0.1                 0.3                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 0.3                 0.3                 nan                 nan
   SMACS_2031                 0.0                 0.0    3.107658559699587    9.426932533501653                  nan  12.676418265301244    8.87261903531429  15.054894094862401  14.662299723646024 15.782108113178602 30.444195650583236                nan                nan                 nan 43.331471321212156  62.64780697063306 207.64647578143996                nan                  nan                0.6                 0.7       nan                 0.5                 0.9                 2.1                 1.6                 1.3                 2.9                 nan                 nan                 nan                 1.5                 0.9                 0.5                 nan                 nan
    SGAS_1050 0.15409604508578278                 0.0  0.01940216723415755 0.054952314888137115 0.014996218809145251 0.21186004779212902 0.12821733835707264 0.32651116576985534 0.40365721477581046 0.3965066464055986 0.8056765005730917                nan  0.528271926543203 0.01422104137958943 1.0135802489471888 2.3810546724920347  8.185384639483598                nan                  nan              0.007               0.007     0.005                0.07                0.08                0.04                0.06                0.06                0.02                 nan                0.02                 nan                0.01                0.02                0.02                 nan                 nan
