         Name           E(B-V)          eE(B-V)        OIII1661        OIII1666        NIII1750       CIII1907       CIII1909      NeIII3869        OII3727        OII3729         OIITot             Hd             Hg        OIII4363  Hb      OIII4959      OIII5007            Ha         NII6584        eOIII1661        eOIII1666 eNIII1750        eCIII1907        eCIII1909       eNeIII3869         eOII3727         eOII3729          eOIITot              eHd              eHg        eOIII4363              eHb        eOIII4959       eOIII5007              eHa         eNII6584
------------- ---------------- ---------------- --------------- --------------- --------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------- --- ------------- ------------- ------------- --------------- ---------------- ---------------- --------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- --------------- ---------------- ----------------
       CSWA20 -0.0115772969717  -0.108153772451            0.04             0.1             nan           0.12           0.11           0.37           0.47           0.52           0.47            nan           0.57            0.05 1.0          1.67          4.97          3.32            0.06             0.04             0.04       nan             0.01             0.01             0.02             0.02             0.03              0.2              nan             0.05             0.03             0.07              0.1            0.29              0.2             0.02
    USD-12539              0.0              0.0             nan             nan             nan            nan            nan 0.273398359934 0.610835735828 0.672093950698  1.28292968653            nan 0.243982685421  0.328823289936 1.0           nan 4.75605885627 3.38690273427  0.148764134562              nan              nan       nan              nan              nan  0.0528209815692   0.209371660572    0.24179061646   0.451161263944              nan  0.0204980009861  0.0292828497825  0.0434375917166              nan  0.148532612648   0.104606314142   0.012047127943
Abell_860_359  0.0298832077515  0.0501135303429 0.0347666552952 0.0961787117753 0.0347940924274            nan            nan            nan            nan            nan  1.26624608327            nan            nan             nan 1.0 2.02099738383 6.08007167168 2.80655113923             nan              nan   0.294707446947       nan              nan              nan              nan              nan              nan              nan              nan              nan              nan   0.112069890667   0.177201722924  0.487737075322   0.232405482127              nan
   Abell_22.3 -0.0953652097004   0.317658930585             nan             nan             nan            nan            nan            nan            nan            nan           1.11            nan            nan            0.27 1.0          1.98          6.45          5.03            0.05              nan              nan       nan              nan              nan              nan              nan              nan              0.3              nan              nan              0.1              0.1              0.3             0.3              0.4              nan
        RCSGA   0.247280710803   0.251026588043             nan             nan             nan            nan            nan 0.302234610313            nan            nan   2.8548043233 0.262239008087 0.471156007649 0.0520560945906 1.0 1.49040240802 4.75992671534 2.74987392521  0.174953932648              nan              nan       nan              nan              nan 0.00392619663133              nan              nan  0.0101988196088 0.00434366550218 0.00404830444034              nan 0.00477960660952 0.00606517344517  0.016434390743 0.00986405851082 0.00380358739991
   A1689_31.1   0.167391189014   0.296256738425  0.171948606809  0.397420858873             nan 0.285266113244 0.553916973428 0.197291685238 0.291706274051 0.370842095739 0.662444427431            nan 0.461855522367  0.167297024685 1.0 1.43893601562 4.77389153322           nan             nan 0.00210440229429 0.00211935782359       nan 0.00202624549321 0.00225670307198 0.00342672597456 0.00230140490019 0.00234712921283 0.00268196825263              nan 0.00256474557467 0.00295609793673 0.00331128062428 0.00418940265533 0.0113967405458              nan              nan
   SMACS_0304 -0.0234885752537   0.169540315232 0.0224474832759 0.0368669194492             nan            nan            nan 0.350496953727  1.04018470917  1.39486689146   2.4942272412 0.290732034149 0.448286951547             nan 1.0 1.32008062031 4.61623749272 3.00660797044 0.0965942759759   0.161936394652   0.149704225281       nan              nan              nan    6.26315124299    1.92630334661    1.65367308096   0.323733138371   0.127600063907   0.133206018079              nan   0.169799065412   0.198619895742  0.566992217654   0.378355925577   0.115778595366
    MACS_0451   0.294450787669 -0.0688195392807             0.2             0.3             0.1            nan            nan            nan            nan            nan           0.63            nan            nan             nan 1.0          1.37          3.95          2.58           0.065              0.1              0.1       nan              nan              nan              nan              nan              nan              nan              nan              nan              nan              0.1             0.05            0.05             0.16              nan
 COSMOS_12805   0.243724506639  0.0747788766151 0.0533089840184 0.0815910031324 0.0457140223997            nan            nan            nan            nan            nan   2.9904508241            nan            nan             nan 1.0 1.88520467987 6.43587648961 2.74958494596 0.0967845932398   0.238212087496     0.2037293806       nan              nan              nan              nan              nan              nan              nan              nan              nan              nan   0.390948327176   0.562429640389   1.78135302637   0.763509723855              nan
        BX660              0.0 0.00189509394299             0.0            0.21             nan            nan            nan            nan            nan            nan           0.87            nan            nan             nan 1.0           3.2           6.4          2.77            0.07              0.0             0.04       nan              nan              nan              nan              nan              nan             0.04              nan              nan              nan              0.2              0.8             0.3              0.2              nan
         BX74  0.0522826224979   0.226293509799             0.0  0.209422894964             nan            nan            nan            nan            nan            nan  1.23738668885            nan            nan             nan 1.0 2.42886229672 7.70699657187  2.7937103273 0.0966816276465              nan   0.132568064429       nan              nan              nan              nan              nan              nan   0.256656774666              nan              nan              nan   0.255122291339   0.528317083202     1.396954251   0.518899777826   0.162437631138
        BX418   0.197562673891 -0.0146613958719             0.0            0.14             nan            nan            nan            nan            nan            nan            0.9            nan            nan             nan 1.0           2.3           6.4          2.81            0.15              0.0             0.04       nan              nan              nan              nan              nan              nan             0.03              nan              nan              nan              0.2              0.7             0.3              0.2             0.03
    S16-stack  -0.210602974149   0.246745570708 0.0180775609091 0.0501931430853             nan   0.1790332173 0.123448276099 0.386670997911  1.34974040147   1.4272981531  2.77213685407            nan            nan 0.0675802260497 1.0 1.42962849028   4.236783093 2.76207117156   0.26706436102   0.152388940911   0.105870083805       nan   0.100134020127   0.102941788948      0.126290008   0.178435931104   0.185376419317   0.313198435703              nan              nan              nan   0.150608384395   0.185747817858  0.463557783432   0.312239167167   0.110326187095
  COSMOS-1908 -0.0764649960685 -0.0675450911763             nan             nan             nan            nan            nan 0.389830508475  0.23093220339  0.23093220339  0.46186440678 0.315677966102 0.468220338983  0.118644067797 1.0 2.28813559322 7.05508474576           nan             nan              nan              nan       nan              nan              nan  0.0490492362494   0.042071547796  0.0400491571018  0.0821182780162  0.0698279778005    0.07618341609  0.0303193999316   0.074905379363   0.134933308882  0.402034067906              nan              nan
    SGAS_1050   -0.11249487137  -0.198604859742           0.018           0.051           0.014 0.199649737303 0.120840630473 0.320490367776 0.395796847636 0.388791593695           0.79            nan           0.52           0.014 1.0          2.35          8.08           nan             nan            0.007            0.007     0.005             0.07             0.08             0.04             0.06             0.06             0.02              nan             0.02              nan             0.01             0.02            0.02              nan              nan
