         Name              E(B-V)             eE(B-V)             OIII1661             OIII1666             NIII1750            CIII1907            CIII1909           NeIII3869            OII3727            OII3729             OIITot                 Hd                  Hg             OIII4363  Hb           OIII4959           OIII5007                 Ha              NII6584             eOIII1661             eOIII1666           eNIII1750            eCIII1907             eCIII1909            eNeIII3869             eOII3727              eOII3729              eOIITot                   eHd                   eHg             eOIII4363                  eHb            eOIII4959            eOIII5007                  eHa             eNII6584
------------- ------------------- ------------------- -------------------- -------------------- -------------------- ------------------- ------------------- ------------------- ------------------ ------------------ ------------------ ------------------ ------------------- -------------------- --- ------------------ ------------------ ------------------ -------------------- --------------------- --------------------- ------------------- -------------------- --------------------- --------------------- -------------------- --------------------- -------------------- --------------------- --------------------- --------------------- -------------------- -------------------- -------------------- -------------------- --------------------
       CSWA20                 0.0 0.15073878595669246  0.06634431124241108   0.1657782505661764                  nan 0.20981185046143194   0.192599166082954 0.43093164145293644  0.556510832167851 0.6155831727252441 0.5563924830401245                nan  0.6184235948772925 0.054043811669832346 1.0  1.647292362647937 4.8708100339406855  2.790766713450631  0.05034755609237796   0.48481035905656916   0.22415869782598263                 nan   0.1291397663172257   0.12988506383700432   0.13308520174126656  0.13895887108877697   0.14389469374806096   0.2528765117554696                   nan   0.14670564385406146   0.32378523906702833  0.17154982588806522  0.23283716294173407   0.6027377730799783    0.356879559568058  0.20119159215743979
Abell_860_359                 0.0 0.04495214070168326   0.0370222786948574  0.10238821539951697 0.036837576168376115                 nan                 nan                 nan                nan                nan 1.2713325712164727                nan                 nan                  nan 1.0  2.020884581744703  6.079586475780562  2.806354519572808                  nan                   nan   0.26935432102154705                 nan                  nan                   nan                   nan                  nan                   nan                  nan                   nan                   nan                   nan  0.10266364216172398   0.1621286043976918   0.4467000082891343  0.21270130705268223                  nan
   Abell_22.3                 0.0  0.3127034678296441                  nan                  nan                  nan                 nan                 nan                 nan                nan                nan 1.1220054949082947                nan                 nan   0.2710070859401976 1.0  1.978806707015587  6.444292155958992  4.994856730892069 0.049647910574676504                   nan                   nan                 nan                  nan                   nan                   nan                  nan                   nan   0.3143057168152785                   nan                   nan   0.10166976652628468   0.1387768282979887     0.35266351387108   0.6975444501205997   0.6279447817366048                  nan
        RCSGA  0.0883908253860116  0.2634885286059957                  nan                  nan                  nan                 nan                 nan  0.3142901815482166                nan                nan  2.988301996266879 0.2698568548997242 0.48001827195950664 0.052986390518249604 1.0 1.4859739518080284  4.739145767363694  2.652559447903373  0.16870827674096678                   nan                   nan                 nan                  nan                   nan  0.003492652648901775                  nan                   nan 0.009656880074310434 0.0038184099041421193 0.0036371104126777464                   nan 0.004346314897212115 0.005505289210200325 0.014883134328458312 0.008698049348812903 0.003440004571451591
   A1689_31.1  0.2494405373110291  0.3041082106042976  0.19939898195653624  0.46068850436922415                  nan  0.3287097162008674  0.6383515931171864 0.20353421153285017   0.30216258615194 0.3841138570936177 0.6861521036971461                nan  0.4693119917295815  0.16986938318538572 1.0 1.4351318737009695  4.755326836700063                nan                  nan 0.0017996293006714995 0.0018880193207922863                 nan 0.001761312255833453 0.0020544000752031845 0.0029794266554221895 0.002021639570670018 0.0020671287649461313 0.002384323145035077                   nan 0.0022648571387856387 0.0025885802605187577 0.002930591575978746 0.003700265336923101 0.010050090214016375                  nan                  nan
   SMACS_0304 0.21165693079869943 0.22423390569270263  0.02646003793673781  0.04344483763438361                  nan                 nan                 nan 0.36671262232625623 1.0938315622040888 1.4667095967351018 2.6226925690937617 0.3011913964961177 0.45919464278694055                  nan 1.0 1.3147739333216188  4.588938958261611  2.857025418887936  0.09174168794899475   0.13909026728201385    0.1304375651584465                 nan                  nan                   nan     5.089726165171377   1.5670188905312505    1.3479390602440802  0.32669846230391425   0.12208333145372824   0.12842878564928858                   nan  0.16458498961275422  0.19215957324511798   0.5465445447359282  0.35101194096532623  0.11426671202489229
    MACS_0451                 0.0 0.01808902145256162  0.24312193441212432   0.3643095154403681  0.11947750343636379                 nan                 nan                 nan                nan                nan 0.6445580242888768                nan                 nan                  nan 1.0 1.3682428436545406  3.942559155217376   2.54137370323411  0.06401911544468687   0.09867814497727515   0.10204984590237524                 nan                  nan                   nan                   nan                  nan                   nan                  nan                   nan                   nan                   nan   0.1356019059878478  0.13967945758530562   0.3810603286707093   0.2879518574586372                  nan
 COSMOS_12805  0.3191598046811637 0.16344560297354868  0.05269949190555624  0.08063141296982998 0.044884085533495544                 nan                 nan                 nan                nan                nan  2.924357850351441                nan                 nan                  nan 1.0 1.8891095156760886 6.4555284370157775 2.8242707482174976  0.09944171090781054  0.019540912830776015  0.028022086661714334                 nan                  nan                   nan                   nan                  nan                   nan                  nan                   nan                   nan                   nan  0.41769554368474876   0.6944767675040336   1.9279328616457956   0.8356146831306632                  nan
        BX660                 0.0 0.11230321588786676                  0.0  0.22954340544991578                  nan                 nan                 nan                 nan                nan                nan 0.8789660888258033                nan                 nan                  nan 1.0  3.198151037782664  6.394567295311665 2.7511892940505907  0.06952082702016277                   nan    0.0597341127367102                 nan                  nan                   nan                   nan                  nan                   nan  0.17686381998283382                   nan                   nan                   nan  0.27747289416594423   1.0048229869667609   1.2886889586679484   0.5743435066763642                  nan
