               Name      z                Ref            E(B-V)            Te           Den        OIII1661        OIII1666        NIII1750       CIII1907       CIII1909      NeIII3869        OII3727        OII3729         OIITot             Hd             Hg        OIII4363            Hb      OIII4959      OIII5007            Ha         NII6584        eOIII1661        eOIII1666 eCIII1907     eCIII1909       eNIII1750      eNeIII3869        eOII3727        eOII3729         eOIITot              eHd              eHg      eOIII4363              eHb        eOIII4959        eOIII5007               eHa         eNII6584
------------------- ------ ------------------ ----------------- ------------- ------------- --------------- --------------- --------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------- ------------- ------------- ------------- ------------- --------------- ---------------- ---------------- --------- ------------- --------------- --------------- --------------- --------------- --------------- ---------------- ---------------- -------------- ---------------- ---------------- ---------------- ----------------- ----------------
       COSMOS_12805  2.159         Kojima2017  0.00326154374974 11979.8637795         100.0 0.0496245976354 0.0759545321414 0.0425286246149            nan            nan            nan            nan            nan  2.91013230414            nan            nan             nan 1.00000097231 1.88947405398 6.45735733527 2.83085306608  0.099674918212  0.0121529626862  0.0151909064283       nan           nan             nan             nan             nan             nan             nan              nan              nan            nan   0.300000291692   0.419883123107   0.289881366444    0.049838962431              nan
         SMACS_0304  1.963 Christensen2012a,b    0.169794051061 11496.9769715 120.946695814 0.0270708951266 0.0444283813842             nan            nan            nan 0.353335217618  1.05017496275  1.40822583598  2.51811499963 0.292534858152 0.450092230287             nan 1.00005061903  1.3197390728 4.61464950892  3.0468349238 0.0979129528491 0.00580090609855 0.00772667502334       nan           nan             nan   4.47856513325   4.07788359223   4.67649928503 0.0239820476155 0.00569133965276 0.00327737060889            nan 0.00200010123806 0.00394246175595 0.00685247063267 0.000845403696949 0.00422038589867
               BX74  2.189            Erb2016    0.219887385195 15733.7223039         100.0             0.0  0.281495152604             nan            nan            nan            nan            nan            nan  1.27773895742            nan            nan             nan 1.00006555335 2.42408593308  7.6850555072 2.78369985657 0.0963483693841              0.0  0.0234579293837       nan           nan             nan             nan             nan             nan 0.0506035230663              nan              nan            nan              nan    1.49174518959   0.972791836355      0.2011343827   0.024087092346
              BX418  2.305            Erb2016  0.00172925346004 13794.2411208         100.0             0.0  0.140941890697             nan            nan            nan            nan            nan            nan 0.901665835835            nan            nan             nan 1.00000051551 2.29966063188 6.39861175311 2.80519793613  0.149741267262              0.0  0.0402691116276       nan           nan             nan             nan             nan             nan 0.0300555278612              nan              nan            nan              nan   0.699896714051   0.299934925927    0.199658216094  0.0299482534524
              BX660  2.174            Erb2016 -0.00628915349409 15168.0835394         100.0             0.0            0.21             nan            nan            nan            nan            nan            nan           0.87            nan            nan             nan           1.0           3.2           6.4          2.77            0.07              0.0             0.04       nan           nan             nan             nan             nan             nan            0.04              nan              nan            nan              nan              0.8              0.3               0.2              nan
         Abell_22.3  1.703           Yuan2009    0.628674967414 29999.9999996         100.0             nan             nan             nan            nan            nan            nan            nan            nan  2.17417302482            nan            nan  0.368956378769 1.00018743351 1.87657850675 5.96084372056 2.70095660535 0.0266928245005              nan              nan       nan           nan             nan             nan             nan             nan  0.587614331034              nan              nan 0.136650510655   0.100018743351    0.28433007678   0.277248545142    0.214787801618              nan
          SGAS_1050  3.625        Bayliss2014   -0.206322112695 9200.60379488 586.318151494           0.018           0.051           0.014 0.199649737303 0.120840630473 0.320490367776 0.395796847636 0.388791593695           0.79            nan           0.52           0.014           1.0          2.35          8.08           nan             nan            0.007            0.007     0.005          0.07            0.08            0.04            0.06            0.06            0.02              nan             0.02            nan             0.01             0.02             0.02               nan              nan
             CSWA20  1.433          James2014  -0.0976771417647 12308.4328588 15121.3009093            0.04             0.1             nan           0.12           0.11           0.37           0.47           0.52           0.47            nan           0.57            0.05           1.0          1.67          4.97          3.32            0.06             0.04             0.04       nan          0.01            0.01            0.02            0.02            0.03             0.2              nan             0.05           0.03             0.07              0.1             0.29               0.2             0.02
          MACS_0451   2.06          Stark2014  -0.0704715068584 17971.6814978         100.0             0.2             0.3             0.1            nan            nan            nan            nan            nan           0.63            nan            nan             nan           1.0          1.37          3.95          2.58           0.065              0.1              0.1       nan           nan             nan             nan             nan             nan             nan              nan              nan            nan              0.1             0.05             0.05              0.16              nan
